ranking,year,position,player_id
1,2011,QB,2506363
2,2011,QB,2504531
3,2011,QB,2504775
4,2011,QB,2504211
5,2011,QB,2501863
6,2011,QB,2506121
7,2011,QB,2505354
8,2011,QB,2505982
9,2011,QB,2506109
10,2011,QB,310
11,2011,QB,79557
12,2011,QB,2505996
13,2011,QB,79860
14,2011,QB,2495824
15,2011,QB,382
16,2011,QB,497095
17,2011,QB,2507169
18,2011,QB,2506562
19,2011,QB,2506581
20,2011,QB,79858
21,2011,QB,2506444
22,2011,QB,2502044
23,2011,QB,2505101
24,2011,QB,2506364
25,2011,QB,497135
26,2011,QB,2501078
27,2011,QB,497123
28,2011,QB,2495455
29,2011,QB,2495863
30,2011,QB,2506340
31,2011,QB,252
32,2011,QB,2495194
33,2011,QB,2506875
34,2011,QB,2495215
35,2011,QB,2495838
36,2011,QB,2505623
37,2011,QB,2495143
38,2011,QB,2507282
39,2011,QB,2507171
40,2011,QB,2505245
1,2011,RB,2507164
2,2011,RB,79555
3,2011,RB,925
4,2011,RB,262
5,2011,RB,941
6,2011,RB,939
7,2011,RB,79607
8,2011,RB,284
9,2011,RB,2495831
10,2011,RB,2506404
11,2011,RB,2506014
12,2011,RB,234
13,2011,RB,2505936
14,2011,RB,1980
15,2011,RB,497149
16,2011,RB,2495560
17,2011,RB,79563
18,2011,RB,2495979
19,2011,RB,497147
20,2011,RB,931
21,2011,RB,2495466
22,2011,RB,79619
23,2011,RB,497188
24,2011,RB,79661
25,2011,RB,2506343
26,2011,RB,2506871
27,2011,RB,2495663
28,2011,RB,2495793
29,2011,RB,2506140
30,2011,RB,949
31,2011,RB,4383
32,2011,RB,929
33,2011,RB,2507428
34,2011,RB,2495241
35,2011,RB,2506448
36,2011,RB,2506874
37,2011,RB,497206
38,2011,RB,2507192
39,2011,RB,2507141
40,2011,RB,2505674
41,2011,RB,497204
42,2011,RB,2504778
43,2011,RB,4327
44,2011,RB,1996
45,2011,RB,71345
46,2011,RB,2495474
47,2011,RB,2495269
48,2011,RB,2506467
49,2011,RB,2504252
50,2011,RB,2506341
51,2011,RB,2495161
52,2011,RB,497208
53,2011,RB,2495207
54,2011,RB,81869
55,2011,RB,2495473
56,2011,RB,2506447
57,2011,RB,2503715
58,2011,RB,2495744
59,2011,RB,2495470
60,2011,RB,497178
1,2011,WR,2505551
2,2011,WR,2495647
3,2011,WR,2506366
4,2011,WR,2506106
5,2011,WR,80672
6,2011,WR,2506400
7,2011,WR,2495867
8,2011,WR,2507763
9,2011,WR,2504747
10,2011,WR,2495801
11,2011,WR,1581
12,2011,WR,2495558
13,2011,WR,2508048
14,2011,WR,497278
15,2011,WR,2495893
16,2011,WR,2506885
17,2011,WR,2505600
18,2011,WR,768
19,2011,WR,2505790
20,2011,WR,80425
21,2011,WR,2495821
22,2011,WR,2505587
23,2011,WR,71217
24,2011,WR,1030
25,2011,WR,80429
26,2011,WR,81282
27,2011,WR,2504743
28,2011,WR,2495718
29,2011,WR,2504651
30,2011,WR,81308
31,2011,WR,2495454
32,2011,WR,2504595
33,2011,WR,2346
34,2011,WR,2495450
35,2011,WR,2506287
36,2011,WR,497288
37,2011,WR,2507184
38,2011,WR,2506342
39,2011,WR,2495676
40,2011,WR,79595
41,2011,WR,2505785
42,2011,WR,2506097
43,2011,WR,2503532
44,2011,WR,2504253
45,2011,WR,71269
46,2011,WR,1032
48,2011,WR,2649
49,2011,WR,735
50,2011,WR,2505062
51,2011,WR,2505511
52,2011,WR,2506096
53,2011,WR,2495192
54,2011,WR,2507183
55,2011,WR,318
56,2011,WR,497270
57,2011,WR,733
58,2011,WR,2495562
59,2011,WR,2495315
60,2011,WR,2500467
1,2011,TE,2505299
2,2011,TE,1072
3,2011,TE,2505629
4,2011,TE,2505664
5,2011,TE,2495826
6,2011,TE,2495825
7,2011,TE,497236
8,2011,TE,2506107
9,2011,TE,2495888
10,2011,TE,497240
11,2011,TE,71431
12,2011,TE,238457
13,2011,TE,2500835
14,2011,TE,497244
15,2011,TE,2495700
16,2011,TE,1074
17,2011,TE,71265
18,2011,TE,2505938
19,2011,TE,2507218
20,2011,TE,2495187
1,2012,QB,2506363
2,2012,QB,2504211
3,2012,QB,2504775
4,2012,QB,79860
5,2012,QB,2495455
6,2012,QB,2504531
7,2012,QB,310
8,2012,QB,2505996
9,2012,QB,2505354
10,2012,QB,2506121
11,2012,QB,2501863
12,2012,QB,2506109
13,2012,QB,2495824
14,2012,QB,2533033
15,2012,QB,2505982
16,2012,QB,79557
17,2012,QB,2533031
18,2012,QB,382
19,2012,QB,2505245
20,2012,QB,2506581
21,2012,QB,2495143
22,2012,QB,2495194
23,2012,QB,2506340
24,2012,QB,2532975
25,2012,QB,497095
26,2012,QB,2506562
27,2012,QB,2495215
28,2012,QB,79858
29,2012,QB,367
30,2012,QB,497135
31,2012,QB,497129
32,2012,QB,2508123
33,2012,QB,2532970
34,2012,QB,2532956
35,2012,QB,2495441
36,2012,QB,2501078
37,2012,QB,2507169
38,2012,QB,2507282
39,2012,QB,2505101
40,2012,QB,252
1,2012,RB,79555
2,2012,RB,941
3,2012,RB,79607
4,2012,RB,262
5,2012,RB,284
6,2012,RB,234
7,2012,RB,2495207
8,2012,RB,925
9,2012,RB,2495831
10,2012,RB,2495663
11,2012,RB,2505936
12,2012,RB,497188
13,2012,RB,2533032
14,2012,RB,2507164
15,2012,RB,2506871
16,2012,RB,2495560
17,2012,RB,2532899
18,2012,RB,2506467
19,2012,RB,2506014
20,2012,RB,2506404
21,2012,RB,2506874
22,2012,RB,2505674
23,2012,RB,79563
24,2012,RB,929
25,2012,RB,949
26,2012,RB,2507779
27,2012,RB,2495470
28,2012,RB,2495979
29,2012,RB,79661
30,2012,RB,1980
31,2012,RB,2507476
32,2012,RB,497204
33,2012,RB,2495466
34,2012,RB,2506343
35,2012,RB,2507591
36,2012,RB,497208
37,2012,RB,2495474
38,2012,RB,2507192
39,2012,RB,2533035
40,2012,RB,71345
41,2012,RB,2495161
42,2012,RB,497176
43,2012,RB,2507141
44,2012,RB,2495471
45,2012,RB,2495468
46,2012,RB,497149
47,2012,RB,2495220
48,2012,RB,2495241
49,2012,RB,2495473
50,2012,RB,931
51,2012,RB,2533437
52,2012,RB,497206
53,2012,RB,939
54,2012,RB,2495172
55,2012,RB,2533457
56,2012,RB,497147
57,2012,RB,81869
58,2012,RB,4383
59,2012,RB,2532926
60,2012,RB,497174
1,2012,WR,2495647
2,2012,WR,2506106
3,2012,WR,2495454
4,2012,WR,2505551
5,2012,WR,2495450
6,2012,WR,2495867
7,2012,WR,2506366
8,2012,WR,80672
9,2012,WR,2495893
10,2012,WR,2505790
11,2012,WR,2507855
12,2012,WR,1032
13,2012,WR,80425
14,2012,WR,2504595
15,2012,WR,497278
16,2012,WR,2495821
17,2012,WR,2507763
18,2012,WR,80429
19,2012,WR,497328
20,2012,WR,2495558
21,2012,WR,2505600
22,2012,WR,2506400
23,2012,WR,2495801
24,2012,WR,2508061
25,2012,WR,768
26,2012,WR,497284
27,2012,WR,1581
28,2012,WR,2495459
29,2012,WR,2504747
30,2012,WR,2346
31,2012,WR,71217
32,2012,WR,2495676
33,2012,WR,2495315
34,2012,WR,80427
35,2012,WR,2505785
36,2012,WR,2506885
37,2012,WR,2505587
38,2012,WR,2533038
39,2012,WR,2495192
40,2012,WR,2495253
41,2012,WR,2506287
42,2012,WR,71269
43,2012,WR,2495718
44,2012,WR,2506313
45,2012,WR,2508048
46,2012,WR,2532977
47,2012,WR,2504743
48,2012,WR,2495721
49,2012,WR,2502220
50,2012,WR,81282
51,2012,WR,497302
52,2012,WR,2495448
53,2012,WR,2530747
54,2012,WR,2495445
55,2012,WR,2649
56,2012,WR,2533039
57,2012,WR,2532841
58,2012,WR,1030
59,2012,WR,735
60,2012,WR,2505511
1,2012,TE,497236
2,2012,TE,497240
3,2012,TE,2505299
4,2012,TE,497244
5,2012,TE,2495826
6,2012,TE,1072
7,2012,TE,2505629
8,2012,TE,216
9,2012,TE,2500835
10,2012,TE,71431
11,2012,TE,2507218
12,2012,TE,497238
13,2012,TE,324
14,2012,TE,71265
15,2012,TE,2495700
16,2012,TE,2495825
17,2012,TE,1074
18,2012,TE,2495438
19,2012,TE,2532838
20,2012,TE,2506107
1,2013,QB,2504775
2,2013,QB,2506363
3,2013,QB,2501863
4,2013,QB,2495455
5,2013,QB,2504211
6,2013,QB,310
7,2013,QB,79860
8,2013,QB,2533033
9,2013,QB,2495186
10,2013,QB,2533031
11,2013,QB,2532975
12,2013,QB,2505354
13,2013,QB,2505996
14,2013,QB,2506109
15,2013,QB,2495143
16,2013,QB,2495824
17,2013,QB,79557
18,2013,QB,2504531
19,2013,QB,382
20,2013,QB,2505245
21,2013,QB,497095
22,2013,QB,2506121
23,2013,QB,2505982
24,2013,QB,2532956
25,2013,QB,2506340
26,2013,QB,2539228
27,2013,QB,2532970
28,2013,QB,2495194
29,2013,QB,367
30,2013,QB,2495215
31,2013,QB,2539335
32,2013,QB,252
33,2013,QB,2506581
34,2013,QB,2532842
35,2013,QB,2507169
36,2013,QB,2495441
37,2013,QB,79858
38,2013,QB,2506562
39,2013,QB,2539308
40,2013,QB,2533436
1,2013,RB,2507164
2,2013,RB,2532899
3,2013,RB,79555
4,2013,RB,925
5,2013,RB,497204
6,2013,RB,2495663
7,2013,RB,941
8,2013,RB,79607
9,2013,RB,2533032
10,2013,RB,2533457
11,2013,RB,2505936
12,2013,RB,234
13,2013,RB,2495470
14,2013,RB,262
15,2013,RB,2495831
16,2013,RB,2506404
17,2013,RB,2506874
18,2013,RB,2495207
19,2013,RB,284
20,2013,RB,2533034
21,2013,RB,2533035
22,2013,RB,2540175
23,2013,RB,2506467
24,2013,RB,2507999
25,2013,RB,2539341
26,2013,RB,497188
27,2013,RB,2495560
28,2013,RB,2540168
29,2013,RB,939
30,2013,RB,2540156
31,2013,RB,2495473
32,2013,RB,929
33,2013,RB,2507790
34,2013,RB,2495979
35,2013,RB,2495466
36,2013,RB,949
37,2013,RB,2534789
38,2013,RB,2506871
39,2013,RB,2533545
40,2013,RB,2534796
41,2013,RB,497208
42,2013,RB,2533437
43,2013,RB,2507141
44,2013,RB,2533012
45,2013,RB,2532926
46,2013,RB,2495468
47,2013,RB,2539326
48,2013,RB,4327
49,2013,RB,2540273
50,2013,RB,2495471
51,2013,RB,79563
52,2013,RB,2507192
53,2013,RB,2495474
54,2013,RB,2495328
55,2013,RB,79619
56,2013,RB,497145
57,2013,RB,80644
58,2013,RB,2495241
59,2013,RB,2540171
60,2013,RB,497174
1,2013,WR,2495647
2,2013,WR,497278
3,2013,WR,2495450
4,2013,WR,2495893
5,2013,WR,2495454
6,2013,WR,497328
7,2013,WR,2506106
8,2013,WR,2506366
9,2013,WR,2505551
10,2013,WR,2506400
11,2013,WR,2507855
12,2013,WR,2495448
13,2013,WR,2495821
14,2013,WR,2495558
15,2013,WR,1032
16,2013,WR,2504747
17,2013,WR,80672
18,2013,WR,2649
19,2013,WR,2505790
20,2013,WR,2495459
21,2013,WR,2508061
22,2013,WR,497284
23,2013,WR,2504595
24,2013,WR,2507763
25,2013,WR,2346
26,2013,WR,2495341
27,2013,WR,2507183
28,2013,WR,768
29,2013,WR,2495867
30,2013,WR,1581
31,2013,WR,2508048
32,2013,WR,2495801
33,2013,WR,2532865
34,2013,WR,2539336
35,2013,WR,71217
36,2013,WR,2537931
37,2013,WR,2505587
38,2013,WR,2506287
39,2013,WR,497262
40,2013,WR,2495315
41,2013,WR,2495718
42,2013,WR,497322
43,2013,WR,2533038
44,2013,WR,2532841
45,2013,WR,2532977
46,2013,WR,497326
47,2013,WR,2533039
48,2013,WR,2535634
49,2013,WR,2540165
50,2013,WR,2508115
51,2013,WR,81831
52,2013,WR,2532807
53,2013,WR,80425
54,2013,WR,2539256
55,2013,WR,2533533
56,2013,WR,2505785
57,2013,WR,2495192
58,2013,WR,80427
59,2013,WR,497302
60,2013,WR,2540145
1,2013,TE,497236
2,2013,TE,497240
3,2013,TE,2505629
4,2013,TE,2500835
5,2013,TE,2495826
6,2013,TE,2495700
7,2013,TE,2495438
8,2013,TE,2495825
9,2013,TE,71265
10,2013,TE,2505299
11,2013,TE,1062
12,2013,TE,1072
13,2013,TE,89766
14,2013,TE,71431
15,2013,TE,497238
16,2013,TE,216
17,2013,TE,2495267
18,2013,TE,1074
19,2013,TE,497224
20,2013,TE,2508112
1,2014,QB,2501863
2,2014,QB,2506363
3,2014,QB,2504775
4,2014,QB,79860
5,2014,QB,2533031
6,2014,QB,2533033
7,2014,QB,2532842
8,2014,QB,310
9,2014,QB,2495455
10,2014,QB,2504211
11,2014,QB,2505354
12,2014,QB,2495186
13,2014,QB,2495824
14,2014,QB,2532975
15,2014,QB,2506121
16,2014,QB,2506109
17,2014,QB,2495143
18,2014,QB,2532956
19,2014,QB,2506340
20,2014,QB,2505245
21,2014,QB,2505996
22,2014,QB,2543462
23,2014,QB,2505076
24,2014,QB,382
25,2014,QB,2495194
26,2014,QB,497095
27,2014,QB,2539228
28,2014,QB,2543465
29,2014,QB,2539335
30,2014,QB,2506581
31,2014,QB,81294
32,2014,QB,2504531
33,2014,QB,2505982
34,2014,QB,252
35,2014,QB,2506562
36,2014,QB,2539275
37,2014,QB,2532820
38,2014,QB,2543499
39,2014,QB,2543640
40,2014,QB,2543477
1,2014,RB,925
2,2014,RB,79607
3,2014,RB,2507164
4,2014,RB,234
5,2014,RB,2540168
6,2014,RB,2495207
7,2014,RB,2539341
8,2014,RB,2495663
9,2014,RB,79555
10,2014,RB,2540175
11,2014,RB,2540156
12,2014,RB,2540273
13,2014,RB,2532899
14,2014,RB,2533457
15,2014,RB,2539217
16,2014,RB,497176
17,2014,RB,497204
18,2014,RB,497188
19,2014,RB,2506874
20,2014,RB,71345
21,2014,RB,2506404
22,2014,RB,497145
23,2014,RB,2495473
24,2014,RB,2543682
25,2014,RB,262
26,2014,RB,497208
27,2014,RB,941
28,2014,RB,2533032
29,2014,RB,2495470
30,2014,RB,2505936
31,2014,RB,2533034
32,2014,RB,2507141
33,2014,RB,2495831
34,2014,RB,2506871
35,2014,RB,2495979
36,2014,RB,4327
37,2014,RB,2543664
38,2014,RB,2533545
39,2014,RB,284
40,2014,RB,2506467
41,2014,RB,2543603
42,2014,RB,79619
43,2014,RB,2507999
44,2014,RB,2543583
45,2014,RB,2539322
46,2014,RB,2542022
47,2014,RB,2543743
48,2014,RB,2495466
49,2014,RB,949
50,2014,RB,79563
51,2014,RB,2495560
52,2014,RB,497149
53,2014,RB,2533035
54,2014,RB,2507779
55,2014,RB,2535708
56,2014,RB,2543502
57,2014,RB,2543565
58,2014,RB,2507790
59,2014,RB,2543773
1,2014,WR,2495647
2,2014,WR,497328
3,2014,WR,497278
4,2014,WR,2495450
5,2014,WR,2495454
6,2014,WR,2495893
7,2014,WR,1032
8,2014,WR,2533039
9,2014,WR,2508061
10,2014,WR,2495448
11,2014,WR,2506400
12,2014,WR,2540154
13,2014,WR,2505551
14,2014,WR,2346
15,2014,WR,2507855
16,2014,WR,2506106
17,2014,WR,2506366
18,2014,WR,71269
19,2014,WR,2505790
20,2014,WR,2532841
21,2014,WR,2540145
22,2014,WR,80425
23,2014,WR,2495459
24,2014,WR,1581
25,2014,WR,2507763
26,2014,WR,2532977
27,2014,WR,2532865
28,2014,WR,2495821
29,2014,WR,80429
30,2014,WR,238498
31,2014,WR,497284
32,2014,WR,2539205
33,2014,WR,497326
34,2014,WR,497322
35,2014,WR,2504747
36,2014,WR,2495558
37,2014,WR,2533533
38,2014,WR,2543457
39,2014,WR,2495341
40,2014,WR,2543468
41,2014,WR,497282
42,2014,WR,2532884
43,2014,WR,2505587
44,2014,WR,2543498
45,2014,WR,2540165
46,2014,WR,80672
47,2014,WR,2539336
48,2014,WR,81831
49,2014,WR,2507183
50,2014,WR,2540202
51,2014,WR,2495867
52,2014,WR,2540151
53,2014,WR,2532799
54,2014,WR,2539256
55,2014,WR,2543471
56,2014,WR,2649
57,2014,WR,2539291
58,2014,WR,2504595
59,2014,WR,2530747
60,2014,WR,2543500
1,2014,TE,497236
2,2014,TE,497240
3,2014,TE,2495353
4,2014,TE,2495267
5,2014,TE,2495826
6,2014,TE,2495700
7,2014,TE,2505629
8,2014,TE,2540160
9,2014,TE,2495438
10,2014,TE,497254
11,2014,TE,1062
12,2014,TE,2540158
13,2014,TE,2495139
14,2014,TE,2532853
15,2014,TE,2506369
16,2014,TE,2495966
17,2014,TE,2505299
18,2014,TE,2543466
19,2014,TE,2540148
20,2014,TE,2533046
1,2015,QB,2533031
2,2015,QB,2506363
3,2015,QB,2532975
4,2015,QB,2501863
5,2015,QB,2504775
6,2015,QB,2506109
7,2015,QB,310
