ranking,year,position,player_id
8,2015,QB,2505354
9,2015,QB,2495455
10,2015,QB,2532956
11,2015,QB,2505996
12,2015,QB,79860
13,2015,QB,2506121
14,2015,QB,2504211
15,2015,QB,497095
16,2015,QB,2495186
17,2015,QB,2543465
18,2015,QB,2505245
19,2015,QB,382
20,2015,QB,2495824
21,2015,QB,2495143
22,2015,QB,2552033
23,2015,QB,2506340
24,2015,QB,2552466
25,2015,QB,2533033
26,2015,QB,2543499
27,2015,QB,2543477
28,2015,QB,2532842
29,2015,QB,2506581
30,2015,QB,2495240
31,2015,QB,81294
32,2015,QB,2543462
33,2015,QB,2539335
34,2015,QB,2506562
35,2015,QB,2505076
36,2015,QB,2495443
37,2015,QB,79858
38,2015,QB,2543801
39,2015,QB,2539228
40,2015,QB,2532820
1,2015,RB,2507164
2,2015,RB,2540175
3,2015,RB,925
4,2015,RB,2540168
5,2015,RB,2495663
6,2015,RB,2540269
7,2015,RB,2543603
8,2015,RB,234
9,2015,RB,2495207
10,2015,RB,79607
11,2015,RB,927
12,2015,RB,2533034
13,2015,RB,2506404
14,2015,RB,2495466
15,2015,RB,2533457
16,2015,RB,2552469
17,2015,RB,2541161
18,2015,RB,949
19,2015,RB,2543743
20,2015,RB,2539217
21,2015,RB,2540171
22,2015,RB,2552471
23,2015,RB,2552374
24,2015,RB,497149
25,2015,RB,497204
26,2015,RB,2552475
27,2015,RB,2507999
28,2015,RB,2532899
29,2015,RB,2540156
30,2015,RB,71345
31,2015,RB,497145
32,2015,RB,2552453
33,2015,RB,2550189
34,2015,RB,79555
35,2015,RB,2495473
36,2015,RB,2543583
37,2015,RB,497188
38,2015,RB,2543682
39,2015,RB,2543502
40,2015,RB,2552461
41,2015,RB,2552376
42,2015,RB,4327
43,2015,RB,2543600
44,2015,RB,2506874
45,2015,RB,2543770
46,2015,RB,2553435
47,2015,RB,284
48,2015,RB,2495161
49,2015,RB,2543565
50,2015,RB,2506467
51,2015,RB,2540178
52,2015,RB,2506871
53,2015,RB,2533037
54,2015,RB,2543664
55,2015,RB,2552635
56,2015,RB,2533030
57,2015,RB,2542022
58,2015,RB,2533437
59,2015,RB,2552631
60,2015,RB,2535708
1,2015,WR,2508061
2,2015,WR,497278
3,2015,WR,497328
4,2015,WR,2495454
5,2015,WR,2543496
6,2015,WR,2495647
7,2015,WR,2495450
8,2015,WR,2495448
9,2015,WR,2533039
10,2015,WR,2543468
11,2015,WR,2532865
12,2015,WR,2540165
13,2015,WR,2543498
14,2015,WR,2543500
15,2015,WR,497322
16,2015,WR,2505551
17,2015,WR,2540154
18,2015,WR,2552487
19,2015,WR,2495893
20,2015,WR,238498
21,2015,WR,1581
22,2015,WR,497326
23,2015,WR,2543457
24,2015,WR,2543495
25,2015,WR,80429
26,2015,WR,2543509
27,2015,WR,2506400
28,2015,WR,2543488
29,2015,WR,2506366
30,2015,WR,2506106
31,2015,WR,2552600
32,2015,WR,2507763
33,2015,WR,497284
34,2015,WR,2504595
35,2015,WR,2543572
36,2015,WR,2541147
37,2015,WR,2505587
38,2015,WR,2543847
39,2015,WR,2495459
40,2015,WR,497302
41,2015,WR,2495821
42,2015,WR,2346
43,2015,WR,2532841
44,2015,WR,2552458
45,2015,WR,2532977
46,2015,WR,2552597
47,2015,WR,2507855
48,2015,WR,2532933
49,2015,WR,1990
50,2015,WR,2539205
51,2015,WR,768
52,2015,WR,2539291
53,2015,WR,2540202
54,2015,WR,2552409
55,2015,WR,2533533
56,2015,WR,2532884
57,2015,WR,71269
58,2015,WR,2530747
59,2015,WR,80425
60,2015,WR,2495558
1,2015,TE,497240
2,2015,TE,497236
3,2015,TE,2495700
4,2015,TE,2540258
5,2015,TE,1062
6,2015,TE,2495267
7,2015,TE,2505629
8,2015,TE,2495966
9,2015,TE,2495353
10,2015,TE,2540158
11,2015,TE,2540148
12,2015,TE,2533046
13,2015,TE,2495438
14,2015,TE,2495825
15,2015,TE,2505299
16,2015,TE,2543683
17,2015,TE,2537933
18,2015,TE,2541834
19,2015,TE,2506369
20,2015,TE,2495826
1,2016,QB,2495455
2,2016,QB,2506363
3,2016,QB,2532975
4,2016,QB,2533031
5,2016,QB,2504775
6,2016,QB,2506109
7,2016,QB,2505245
8,2016,QB,2505996
9,2016,QB,2506121
10,2016,QB,2543477
11,2016,QB,2504211
12,2016,QB,2495240
13,2016,QB,2532820
14,2016,QB,2543499
15,2016,QB,2505354
16,2016,QB,79860
17,2016,QB,2552033
18,2016,QB,2495143
19,2016,QB,2552466
20,2016,QB,310
21,2016,QB,2506581
22,2016,QB,2532956
23,2016,QB,382
24,2016,QB,2495824
25,2016,QB,2506340
26,2016,QB,2533033
27,2016,QB,2533436
28,2016,QB,2543465
29,2016,QB,497095
30,2016,QB,79858
31,2016,QB,2495441
32,2016,QB,2555259
33,2016,QB,2495186
34,2016,QB,2552588
35,2016,QB,2555316
36,2016,QB,2505076
37,2016,QB,2555334
38,2016,QB,2532842
39,2016,QB,2553457
40,2016,QB,2532888
1,2016,RB,2552475
2,2016,RB,2553435
3,2016,RB,2507164
4,2016,RB,2555224
5,2016,RB,2533034
6,2016,RB,925
7,2016,RB,2540175
8,2016,RB,2495466
9,2016,RB,2543583
10,2016,RB,2540168
11,2016,RB,2532899
12,2016,RB,79607
13,2016,RB,2540269
14,2016,RB,2543743
15,2016,RB,2553733
16,2016,RB,2541161
17,2016,RB,234
18,2016,RB,2543603
19,2016,RB,949
20,2016,RB,2495207
21,2016,RB,497188
22,2016,RB,2506404
23,2016,RB,2552635
24,2016,RB,2552379
25,2016,RB,2540156
26,2016,RB,2552469
27,2016,RB,2552461
28,2016,RB,79555
29,2016,RB,4327
30,2016,RB,71345
31,2016,RB,2552374
32,2016,RB,2507999
33,2016,RB,2495469
34,2016,RB,2552471
35,2016,RB,2495979
36,2016,RB,2552582
37,2016,RB,2543770
38,2016,RB,927
39,2016,RB,2550189
40,2016,RB,497149
41,2016,RB,2556075
42,2016,RB,2552453
43,2016,RB,2495328
44,2016,RB,2540020
45,2016,RB,2555229
46,2016,RB,2539322
47,2016,RB,2543773
48,2016,RB,2552631
49,2016,RB,2543715
50,2016,RB,2555418
51,2016,RB,2555464
52,2016,RB,2555223
53,2016,RB,2495473
54,2016,RB,2506467
55,2016,RB,497206
56,2016,RB,2555417
57,2016,RB,2540204
58,2016,RB,2543664
59,2016,RB,2552380
60,2016,RB,262
1,2016,WR,2508061
2,2016,WR,2543496
3,2016,WR,2495454
4,2016,WR,2495450
5,2016,WR,2540165
6,2016,WR,497278
7,2016,WR,2543509
8,2016,WR,1032
9,2016,WR,2543468
10,2016,WR,2495893
11,2016,WR,2533039
12,2016,WR,2540154
13,2016,WR,2543498
14,2016,WR,2552487
15,2016,WR,2532865
16,2016,WR,2543457
17,2016,WR,497328
18,2016,WR,2495448
19,2016,WR,80429
20,2016,WR,497284
21,2016,WR,2543488
22,2016,WR,238498
23,2016,WR,2530747
24,2016,WR,497326
25,2016,WR,2543471
26,2016,WR,2543614
27,2016,WR,2532841
28,2016,WR,2543847
29,2016,WR,2506106
30,2016,WR,2543500
31,2016,WR,497322
32,2016,WR,2552409
33,2016,WR,2550353
34,2016,WR,2552430
35,2016,WR,2532884
36,2016,WR,1581
37,2016,WR,71269
38,2016,WR,2553432
39,2016,WR,2555295
40,2016,WR,2537931
41,2016,WR,2495459
42,2016,WR,2555333
43,2016,WR,2550256
44,2016,WR,2552608
45,2016,WR,2539336
46,2016,WR,2532790
47,2016,WR,2506400
48,2016,WR,2530660
49,2016,WR,2539291
50,2016,WR,2552458
51,2016,WR,2504595
52,2016,WR,2556370
53,2016,WR,2555214
54,2016,WR,2552424
55,2016,WR,2533040
56,2016,WR,2552470
57,2016,WR,2532903
58,2016,WR,2552491
59,2016,WR,2507763
60,2016,WR,2539205
1,2016,TE,497240
2,2016,TE,2540160
3,2016,TE,2495700
4,2016,TE,2540258
5,2016,TE,2495966
6,2016,TE,2532838
7,2016,TE,1060
8,2016,TE,2540148
9,2016,TE,2495353
10,2016,TE,2540158
11,2016,TE,2505299
12,2016,TE,2533046
13,2016,TE,1062
14,2016,TE,2543466
15,2016,TE,2505629
16,2016,TE,497236
17,2016,TE,238457
18,2016,TE,2532853
19,2016,TE,2495139
20,2016,TE,2552397
1,2017,QB,2506363
2,2017,QB,2504211
3,2017,QB,2504775
4,2017,QB,2533031
5,2017,QB,2532975
6,2017,QB,310
7,2017,QB,2552466
8,2017,QB,2532820
9,2017,QB,2552033
10,2017,QB,2495455
11,2017,QB,2543499
12,2017,QB,2506109
13,2017,QB,2555260
14,2017,QB,2506121
15,2017,QB,79860
16,2017,QB,2495240
17,2017,QB,2505996
18,2017,QB,2495143
19,2017,QB,2555259
20,2017,QB,2543477
21,2017,QB,2505245
22,2017,QB,2532956
23,2017,QB,382
24,2017,QB,2506340
25,2017,QB,497095
26,2017,QB,2558063
27,2017,QB,2553457
28,2017,QB,2539275
29,2017,QB,81294
30,2017,QB,2505076
31,2017,QB,2543640
32,2017,QB,2555334
33,2017,QB,2495186
34,2017,QB,2533436
35,2017,QB,2555316
36,2017,QB,2558008
37,2017,QB,2555387
38,2017,QB,2543801
39,2017,QB,2558125
40,2017,QB,2557983
1,2017,RB,2553435
2,2017,RB,2540175
3,2017,RB,2555224
4,2017,RB,79607
5,2017,RB,2552469
6,2017,RB,2552582
7,2017,RB,2543583
8,2017,RB,2555418
9,2017,RB,2495207
10,2017,RB,2552475
11,2017,RB,2557973
12,2017,RB,2533034
13,2017,RB,2550189
14,2017,RB,2495663
15,2017,RB,2543743
16,2017,RB,2557976
17,2017,RB,2557997
18,2017,RB,2540269
19,2017,RB,2540204
20,2017,RB,2540168
21,2017,RB,2552429
22,2017,RB,2495466
23,2017,RB,2552453
24,2017,RB,2539663
25,2017,RB,2495328
26,2017,RB,2506404
27,2017,RB,2552374
28,2017,RB,2557991
29,2017,RB,2555460
30,2017,RB,497149
31,2017,RB,2507164
32,2017,RB,2532899
33,2017,RB,4327
34,2017,RB,2556414
35,2017,RB,2558138
36,2017,RB,949
37,2017,RB,2556075
38,2017,RB,234
39,2017,RB,2540020
40,2017,RB,2557917
41,2017,RB,2555417
42,2017,RB,2555229
43,2017,RB,2541161
44,2017,RB,2543773
45,2017,RB,2552461
46,2017,RB,2543664
47,2017,RB,925
48,2017,RB,2553733
49,2017,RB,2543603
50,2017,RB,2506467
51,2017,RB,2540156
52,2017,RB,2558204
53,2017,RB,2557936
54,2017,RB,2558019
55,2017,RB,2495469
56,2017,RB,2558123
57,2017,RB,2495473
58,2017,RB,2540011
59,2017,RB,2495471
60,2017,RB,2539265
1,2017,WR,2508061
2,2017,WR,2543496
3,2017,WR,2495454
4,2017,WR,2543468
5,2017,WR,2495450
6,2017,WR,1032
7,2017,WR,2532865
8,2017,WR,2556370
9,2017,WR,497278
10,2017,WR,2552487
11,2017,WR,2530747
12,2017,WR,2540165
13,2017,WR,2543509
14,2017,WR,2543498
15,2017,WR,497328
16,2017,WR,2533039
17,2017,WR,2543457
18,2017,WR,2543495
19,2017,WR,2531332
20,2017,WR,2540154
21,2017,WR,71269
22,2017,WR,497322
23,2017,WR,497326
24,2017,WR,2543488
25,2017,WR,2506106
26,2017,WR,238498
27,2017,WR,2556214
28,2017,WR,2543572
29,2017,WR,2543614
30,2017,WR,2550256
31,2017,WR,2552608
32,2017,WR,2552415
33,2017,WR,2495893
34,2017,WR,2543471
35,2017,WR,1581
36,2017,WR,2346
37,2017,WR,497284
38,2017,WR,2553568
39,2017,WR,2552409
40,2017,WR,80429
41,2017,WR,71217
42,2017,WR,2495448
43,2017,WR,2555333
44,2017,WR,2507763
45,2017,WR,2557848
46,2017,WR,2543500
47,2017,WR,2543847
48,2017,WR,2532903
49,2017,WR,2541785
50,2017,WR,2543828
51,2017,WR,2532884
52,2017,WR,2553913
53,2017,WR,2507166
54,2017,WR,2555343
55,2017,WR,2552597
56,2017,WR,2540202
57,2017,WR,2540169
58,2017,WR,2558846
59,2017,WR,2552430
60,2017,WR,2555295
1,2017,TE,497240
2,2017,TE,2540258
3,2017,TE,2540160
4,2017,TE,2495700
5,2017,TE,497236
6,2017,TE,2540148
7,2017,TE,2495966
8,2017,TE,2495438
9,2017,TE,1062
10,2017,TE,2540158
11,2017,TE,2555341
12,2017,TE,2543466
13,2017,TE,2540232
14,2017,TE,2532838
15,2017,TE,2505629
16,2017,TE,2550656
17,2017,TE,2505299
18,2017,TE,2543721
19,2017,TE,2495353
20,2017,TE,2555415
1,2018,QB,2506363
2,2018,QB,2532975
3,2018,QB,2504211
4,2018,QB,2495455
5,2018,QB,2558063
6,2018,QB,2504775
7,2018,QB,2555259
8,2018,QB,2532820
9,2018,QB,79860
10,2018,QB,2506109
11,2018,QB,2533031
12,2018,QB,2506121
13,2018,QB,2543801
14,2018,QB,310
15,2018,QB,2555334
16,2018,QB,2558125
17,2018,QB,2552466
18,2018,QB,2506340
19,2018,QB,2555260
20,2018,QB,2558008
21,2018,QB,2543499
22,2018,QB,2543477
23,2018,QB,2505996
24,2018,QB,2532888
25,2018,QB,2495143
26,2018,QB,2552033
27,2018,QB,2495240
28,2018,QB,2532956
29,2018,QB,497095
30,2018,QB,382
31,2018,QB,2505076
32,2018,QB,2560858
33,2018,QB,2560800
34,2018,QB,2561036
35,2018,QB,2560757
36,2018,QB,2560955
37,2018,QB,2543497
38,2018,QB,2506581
39,2018,QB,2532842
40,2018,QB,2543465
1,2018,RB,2552475
2,2018,RB,2540175
3,2018,RB,2555224
4,2018,RB,2553435
5,2018,RB,2558019
6,2018,RB,2560968
7,2018,RB,2552469
8,2018,RB,2557917
9,2018,RB,2557973
10,2018,RB,2557991
11,2018,RB,2543583
12,2018,RB,2555418
13,2018,RB,2543715
14,2018,RB,2557976
15,2018,RB,2557997
16,2018,RB,79607
17,2018,RB,2555430
18,2018,RB,2561000
19,2018,RB,2555230
20,2018,RB,2552582
21,2018,RB,2560835
22,2018,RB,2556075
23,2018,RB,2533034
24,2018,RB,2495466
25,2018,RB,2560733
26,2018,RB,2560809
27,2018,RB,2495469
28,2018,RB,2560770
29,2018,RB,2495663
30,2018,RB,2552453
31,2018,RB,2558123
32,2018,RB,2539265
33,2018,RB,2560765
34,2018,RB,2550189
35,2018,RB,2540269
36,2018,RB,2558204
37,2018,RB,2543743
38,2018,RB,2540011
39,2018,RB,2558250
40,2018,RB,2552461
41,2018,RB,2561021
42,2018,RB,2558116
43,2018,RB,2555223
44,2018,RB,2552429
45,2018,RB,2540156
46,2018,RB,2495328
47,2018,RB,2559150
48,2018,RB,2558865
49,2018,RB,497149
50,2018,RB,2541161
51,2018,RB,2557994
52,2018,RB,2532899
53,2018,RB,2560742
54,2018,RB,2543773
55,2018,RB,2540020
56,2018,RB,2558918
57,2018,RB,2556466
58,2018,RB,2507999
59,2018,RB,2506404
60,2018,RB,2555229
1,2018,WR,2508061
2,2018,WR,2540165
3,2018,WR,2543496
4,2018,WR,2495454
5,2018,WR,2556370
6,2018,WR,2540154
7,2018,WR,2495450
8,2018,WR,2543495
9,2018,WR,2543468
10,2018,WR,2532865
11,2018,WR,2530747
12,2018,WR,2541785
13,2018,WR,2552608
14,2018,WR,2556214
15,2018,WR,2552487
16,2018,WR,2543509
17,2018,WR,2506106
18,2018,WR,2533039
19,2018,WR,497328
20,2018,WR,2558149
21,2018,WR,2532884
22,2018,WR,2537931
23,2018,WR,2543498
24,2018,WR,497326
25,2018,WR,2543457
26,2018,WR,2530515
27,2018,WR,71269
28,2018,WR,2543488
29,2018,WR,2557848
30,2018,WR,2346
31,2018,WR,2540169
32,2018,WR,497322
33,2018,WR,2552458
34,2018,WR,2556462
35,2018,WR,2557898
36,2018,WR,2495448
37,2018,WR,2552415
38,2018,WR,2539964
39,2018,WR,2555346
40,2018,WR,2552409
41,2018,WR,238498
42,2018,WR,2540202
43,2018,WR,2552600
44,2018,WR,2555295
45,2018,WR,2543471
46,2018,WR,2532903
47,2018,WR,1032
48,2018,WR,2550353
49,2018,WR,2543475
50,2018,WR,2555343
51,2018,WR,2558052
52,2018,WR,1581
53,2018,WR,2560813
54,2018,WR,2553568
55,2018,WR,497278
56,2018,WR,2552430
57,2018,WR,2543491
58,2018,WR,2533040
59,2018,WR,2553913
60,2018,WR,2507166
1,2018,TE,497240
2,2018,TE,2540258
3,2018,TE,2540158
4,2018,TE,2495700
5,2018,TE,2495966
6,2018,TE,497236
7,2018,TE,2495438
8,2018,TE,2557858
9,2018,TE,2550284
10,2018,TE,2540232
11,2018,TE,2540160
12,2018,TE,2558266
13,2018,TE,2557986
14,2018,TE,2557856
15,2018,TE,2543683
16,2018,TE,2540148
17,2018,TE,2495139
18,2018,TE,2506122
19,2018,TE,71265
20,2018,TE,2550656