"id","profile_id","name","birthdate","gsis_id"
1,310,"Matt Ryan","5/17/1985","00-0026143"
2,941,"Ray Rice","1/22/1987","00-0026195"
3,2506014,"Michael Turner","2/13/1982","00-0022821"
4,2495821,"Marques Colston","6/5/1983","00-0024466"
5,2504253,"Plaxico Burress","8/12/1977","00-0019642"
6,497236,"Jimmy Graham","11/24/1986","00-0027696"
7,79860,"Matthew Stafford","2/7/1988","00-0026498"
8,497095,"Sam Bradford","11/8/1987","00-0027854"
9,2495562,"Steve Breaston","8/20/1983","00-0025529"
10,2505623,"Rex Grossman","8/23/1980","00-0022121"
11,2506344,"Cadillac Williams","4/21/1982","00-0023440"
12,2506875,"Vince Young","5/18/1983","00-0024218"
13,2346,"Pierre Garcon","8/8/1986","00-0026345"
14,2504797,"Matt Bryant","5/29/1975","00-0020578"
16,2504775,"Drew Brees","1/15/1979","00-0020531"
17,79607,"LeSean McCoy","7/12/1988","00-0027029"
18,2507428,"Mike Tolbert","11/23/1985","00-0026069"
19,2506885,"Santonio Holmes","3/3/1984","00-0024240"
20,2507763,"Mike Wallace","8/1/1986","00-0026901"
21,1072,"Jermichael Finley","3/26/1987","00-0026231"
22,79557,"Josh Freeman","1/13/1988","00-0026993"
23,497135,"Tim Tebow","8/14/1987","00-0027876"
24,497208,"Ben Tate","8/21/1988","00-0027890"
25,2495241,"Daniel Thomas","10/29/1987","00-0028000"
26,2495269,"Delone Carter","6/22/1987","00-0028057"
27,2495441,"Blaine Gabbert","10/15/1989","00-0027948"
28,2495454,"Julio Jones","2/3/1989","00-0027944"
29,2495162,"Alex Henery","8/18/1987","00-0028058"
31,2504531,"Michael Vick","6/26/1980","00-0020245"
32,79619,"Knowshon Moreno","7/16/1987","00-0026988"
33,2495979,"DeAngelo Williams","4/25/1983","00-0024242"
34,2495867,"Greg Jennings","9/21/1983","00-0024267"
35,2508048,"Mike Williams","5/18/1987","00-0027702"
36,2495888,"Marcedes Lewis","5/19/1984","00-0024243"
37,2506444,"Kyle Orton","11/14/1982","00-0023541"
38,929,"BenJarvus Green-Ellis","7/2/1985","00-0025860"
39,4327,"Danny Woodhead","1/25/1985","00-0026019"
40,80644,"Mike Goodson","5/23/1987","00-0027080"
41,81308,"Mike Thomas","6/4/1987","00-0027076"
42,2505785,"Malcom Floyd","9/8/1981","00-0022414"
43,2506053,"Luke McCown","7/12/1981","00-0022864"
44,2504287,"Neil Rackers","8/16/1976","00-0019676"
46,2506121,"Philip Rivers","12/8/1981","00-0022942"
47,497188,"Ryan Mathews","10/10/1987","00-0027864"
48,2495793,"Joseph Addai","5/3/1983","00-0024245"
49,2506366,"Roddy White","11/2/1981","00-0023462"
50,2506400,"Vincent Jackson","1/14/1983","00-0023496"
51,2505629,"Jason Witten","5/6/1982","00-0022127"
52,2505996,"Eli Manning","1/3/1981","00-0022803"
53,1030,"Mario Manningham","5/25/1986","00-0026235"
54,497178,"Montario Hardesty","2/1/1987","00-0027666"
55,2506140,"Ryan Grant","12/9/1982","00-0022984"
56,2506364,"Jason Campbell","12/31/1981","00-0023460"
57,2495663,"Marshawn Lynch","4/22/1986","00-0025399"
58,71269,"Michael Crabtree","9/14/1987","00-0026986"
59,2504346,"Lawrence Tynes","5/3/1978","00-0019778"
61,2505354,"Tony Romo","4/21/1980","00-0021678"
62,949,"Jonathan Stewart","3/21/1987","00-0026153"
63,2507192,"Michael Bush","6/16/1984","00-0025487"
64,1581,"DeSean Jackson","12/1/1986","00-0026189"
65,2505600,"Brandon Lloyd","7/5/1981","00-0022097"
66,2506107,"Kellen Winslow","7/21/1983","00-0022922"
67,2506562,"Matt Cassel","5/17/1982","00-0023662"
68,79555,"Arian Foster","8/24/1986","00-0026796"
69,497206,"James Starks","2/25/1986","00-0027791"
70,497288,"Jacoby Ford","7/27/1987","00-0027709"
71,2504252,"Thomas Jones","8/19/1978","00-0019641"
72,2495450,"A.J. Green","7/31/1988","00-0027942"
73,2495700,"Greg Olsen","3/11/1985","00-0025418"
74,2505459,"Josh Brown","4/29/1979","00-0021940"
76,2506363,"Aaron Rodgers","12/2/1983","00-0023459"
77,284,"Darren McFadden","8/27/1987","00-0026144"
78,497149,"LeGarrette Blount","12/5/1986","00-0027325"
79,2495558,"Dwayne Bowe","9/21/1984","00-0025410"
80,2495893,"Brandon Marshall","3/23/1984","00-0024334"
81,497240,"Rob Gronkowski","5/14/1989","00-0027656"
82,2507169,"Kevin Kolb","8/24/1984","00-0025423"
83,71217,"Kenny Britt","9/19/1988","00-0027006"
84,79635,"Javon Ringer","2/2/1987","00-0027120"
85,2505967,"Derrick Ward","8/30/1980","00-0022770"
86,2495143,"Andy Dalton","10/29/1987","00-0027973"
87,2495466,"Mark Ingram","12/21/1989","00-0027966"
88,2649,"Danny Amendola","11/2/1985","00-0026035"
89,2504941,"Billy Cundiff","3/30/1980","00-0020972"
91,2506581,"Ryan Fitzpatrick","11/24/1982","00-0023682"
92,2495560,"Ahmad Bradshaw","3/19/1986","00-0025637"
93,2507164,"Adrian Peterson","3/21/1985","00-0025394"
94,2504747,"Reggie Wayne","11/17/1978","00-0020498"
95,2506106,"Larry Fitzgerald","8/31/1983","00-0022921"
96,2495826,"Vernon Davis","1/31/1984","00-0024221"
97,497123,"Colt McCoy","9/5/1986","00-0027688"
98,2495863,"Tarvaris Jackson","4/21/1983","00-0024279"
99,2500150,"Kerry Collins","12/30/1972","00-0003292"
100,2504743,"Santana Moss","6/1/1979","00-0020494"
101,2505245,"Carson Palmer","12/27/1979","00-0021429"
102,2505936,"Steven Jackson","7/22/1983","00-0022736"
103,2507184,"Mike Sims-Walker","11/21/1984","00-0025466"
104,2504257,"Sebastian Janikowski","3/2/1978","00-0019646"
106,2504211,"Tom Brady","8/3/1977","00-0019596"
107,1980,"Peyton Hillis","1/21/1986","00-0026367"
108,2495831,"Maurice Jones-Drew","3/23/1985","00-0024275"
109,768,"Steve Johnson","7/22/1986","00-0026364"
110,2504651,"Chad Ochocinco","1/9/1978","00-0020397"
111,2505299,"Antonio Gates","6/18/1980","00-0021547"
112,2495824,"Jay Cutler","4/29/1983","00-0024226"
113,4383,"Tim Hightower","5/23/1986","00-0026289"
114,80429,"Jeremy Maclin","5/11/1988","00-0026995"
115,1037847,"Deji Karim","11/18/1986","00-0027779"
116,2504778,"LaDainian Tomlinson","6/23/1979","00-0020536"
117,2506342,"Braylon Edwards","2/21/1983","00-0023438"
118,252,"Chad Henne","7/2/1985","00-0026197"
119,2501016,"Jason Hanson","6/17/1970","00-0006800"
121,2495455,"Cam Newton","5/11/1989","00-0027939"
122,234,"Matt Forte","12/10/1985","00-0026184"
123,79661,"Beanie Wells","8/7/1988","00-0027007"
124,2505551,"Andre Johnson","7/11/1981","00-0022044"
125,2505587,"Anquan Boldin","10/3/1980","00-0022084"
126,497238,"Jermaine Gresham","6/16/1988","00-0027873"
127,2502044,"Donovan McNabb","11/25/1976","00-0011022"
128,931,"Felix Jones","5/8/1987","00-0026162"
129,1032,"Jordy Nelson","5/31/1985","00-0026176"
130,81282,"Austin Collie","11/11/1985","00-0027092"
131,2501863,"Peyton Manning","3/24/1976","00-0010346"
132,2505674,"Willis McGahee","10/21/1981","00-0022178"
133,2506341,"Ronnie Brown","12/12/1981","00-0023437"
134,2504934,"Rob Bironas","1/29/1978","00-0020962"
136,2505982,"Matt Schaub","6/25/1981","00-0022787"
137,925,"Jamaal Charles","12/27/1986","00-0026213"
138,497147,"Jahvid Best","1/30/1989","00-0027880"
139,80672,"Hakeem Nicks","1/14/1988","00-0027005"
140,2505790,"Wes Welker","5/1/1981","00-0022427"
141,2505664,"Dallas Clark","6/12/1979","00-0022165"
142,2506871,"Fred Jackson","2/20/1981","00-0024204"
143,79595,"Johnny Knox","11/3/1986","00-0026913"
144,2495676,"Robert Meachem","9/28/1984","00-0025414"
145,2505101,"David Garrard","2/14/1978","00-0021231"
146,2506448,"Brandon Jacobs","7/6/1982","00-0023545"
147,2507141,"Pierre Thomas","12/18/1984","00-0024813"
148,2506467,"Darren Sproles","6/20/1983","00-0023564"
149,2506922,"Stephen Gostkowski","1/28/1984","00-0024333"
151,382,"Joe Flacco","1/16/1985","00-0026158"
152,262,"Chris Johnson","9/23/1985","00-0026164"
153,2506343,"Cedric Benson","12/28/1982","00-0023439"
154,497278,"Dez Bryant","11/4/1988","00-0027902"
155,2495647,"Calvin Johnson","9/29/1985","00-0025389"
156,2500835,"Tony Gonzalez","2/27/1976","00-0006101"
157,2506340,"Alex Smith","5/7/1984","00-0023436"
158,79563,"Shonn Greene","8/21/1985","00-0026899"
159,2504595,"Steve Smith","5/12/1979","00-0020337"
160,2506097,"Lee Evans","3/11/1981","00-0022910"
161,2506874,"Reggie Bush","3/2/1985","00-0024217"
162,2507175,"Steve Smith","5/6/1985","00-0025438"
163,2507779,"Donald Brown","4/11/1987","00-0027003"
164,2507401,"Dan Carpenter","11/25/1985","00-0026003"
166,2506109,"Ben Roethlisberger","3/2/1982","00-0022924"
167,939,"Rashard Mendenhall","6/19/1987","00-0026163"
168,2506404,"Frank Gore","5/14/1983","00-0023500"
169,80425,"Percy Harvin","5/28/1988","00-0026998"
170,2495801,"Miles Austin","6/30/1984","00-0023921"
171,2495825,"Owen Daniels","11/9/1982","00-0024313"
172,79858,"Mark Sanchez","11/11/1986","00-0026898"
173,497204,"C.J. Spiller","8/5/1987","00-0027861"
174,2495718,"Sidney Rice","9/1/1986","00-0025431"
175,2501078,"Matt Hasselbeck","9/25/1975","00-0007091"
176,2502220,"Randy Moss","2/13/1977","00-0011754"
177,2503532,"Hines Ward","3/8/1976","00-0017162"
178,2506447,"Marion Barber","6/10/1983","00-0023544"
179,2505937,"Nate Kaeding","3/26/1982","00-0022737"
181,2506114,"Devery Henderson","3/26/1982","00-0022929"
182,216,"Fred Davis","1/15/1986","00-0026188"
184,2495471,"Jacquizz Rodgers","2/6/1990","00-0028083"
185,2505062,"Deion Branch","7/18/1979","00-0021192"
187,497190,"Dexter McCluster","8/25/1988","00-0027651"
188,497322,"Emmanuel Sanders","3/17/1987","00-0027685"
189,497284,"Eric Decker","3/15/1987","00-0027690"
191,2495315,"Denarius Moore","12/9/1988","00-0028086"
192,2501563,"John Kasay","10/27/1969","00-0009028"
194,2507225,"Nick Folk","11/5/1984","00-0025565"
195,1074,"Dustin Keller","9/25/1984","00-0026170"
196,2688,"Evan Moore","1/3/1985","00-0026123"
197,2495215,"Christian Ponder","2/25/1988","00-0027950"
198,2501792,"Ryan Longwell","8/16/1974","00-0010072"
199,2495172,"Kendall Hunter","9/16/1988","00-0028053"
201,2507884,"David Nelson","11/7/1986","00-0027322"
202,2506313,"Nate Washington","8/28/1983","00-0023367"
203,2505106,"Randy McMichael","6/28/1979","00-0021236"
204,2495459,"Torrey Smith","1/26/1989","00-0027996"
206,2495187,"Lance Kendricks","1/30/1988","00-0027985"
207,2507591,"Isaac Redman","11/10/1984","00-0026566"
208,2508061,"Antonio Brown","7/10/1988","00-0027793"
209,2505453,"Kevin Walter","8/4/1981","00-0021931"
210,2495259,"Dan Bailey","1/26/1988","00-0028660"
211,71265,"Jared Cook","4/7/1987","00-0027061"
212,2495573,"Scott Chandler","7/23/1985","00-0025516"
213,2499370,"David Akers","12/9/1974","00-0000108"
215,2495470,"Stevan Ridley","1/27/1989","00-0028011"
216,71431,"Brandon Pettigrew","2/23/1985","00-0026996"
217,1996,"Ryan Torain","8/10/1986","00-0026279"
218,2495651,"Jacoby Jones","7/11/1984","00-0025460"
219,2507282,"Matt Moore","8/9/1984","00-0025708"
221,497244,"Aaron Hernandez","11/6/1989","00-0027713"
222,2507463,"Connor Barth","4/11/1986","00-0026138"
223,220,"Early Doucet","10/28/1985","00-0026221"
224,2501898,"Derrick Mason","1/17/1974","00-0010500"
225,2506287,"Lance Moore","8/31/1983","00-0023310"
227,81869,"Bernard Scott","2/10/1984","00-0026941"
228,81300,"Curtis Painter","6/24/1985","00-0027134"
229,80427,"Darrius Heyward-Bey","2/26/1987","00-0026983"
230,2505380,"Earnest Graham","1/15/1980","00-0021755"
231,2530747,"Doug Baldwin","9/21/1988","00-0028434"
232,2507278,"Jackie Battle","10/1/1983","00-0025701"
233,2507232,"Mason Crosby","9/3/1984","00-0025580"
235,2507855,"Victor Cruz","11/11/1986","00-0027265"
236,2504046,"Rian Lindell","1/20/1977","00-0019310"
237,497262,"Danario Alexander","8/7/1988","00-0027912"
238,2495974,"Charlie Whitehurst","8/6/1982","00-0024296"
239,2507183,"James Jones","3/31/1984","00-0025465"
240,927,"Justin Forsett","10/14/1985","00-0026373"
243,2506677,"Matt Prater","8/10/1984","00-0023853"
244,2495192,"Greg Little","5/30/1989","00-0027997"
245,2495207,"DeMarco Murray","2/12/1988","00-0028009"
246,2507171,"John Beck","8/21/1981","00-0025427"
247,2506149,"Shaun Suisham","12/29/1981","00-0023001"
248,2506264,"Robbie Gould","12/6/1982","00-0023252"
249,2504566,"A.J. Feeley","5/16/1977","00-0020305"
250,2505976,"Michael Jenkins","6/18/1982","00-0022781"
251,2506194,"Nick Novak","8/21/1981","00-0023096"
253,2505033,"Jabar Gaffney","12/1/1980","00-0021163"
254,2507897,"Alfonso Smith","1/23/1987","00-0027346"
255,2505052,"Maurice Morris","12/1/1979","00-0021182"
256,2501868,"Olindo Mare","6/6/1973","00-0010373"
258,2495161,"Roy Helu","12/7/1988","00-0028043"
259,497328,"Demaryius Thomas","12/25/1987","00-0027874"
260,497224,"Ed Dickson","7/25/1987","00-0027675"
261,935,"Kregg Lumpkin","5/15/1984","00-0026029"
262,80674,"Chris Ogbonnaya","5/20/1986","00-0027140"
263,2495445,"Jon Baldwin","8/10/1989","00-0027964"
264,2507850,"Jake Ballard","12/21/1987","00-0027259"
265,89686,"Curtis Brinkley","9/20/1985","00-0026745"
266,2495772,"D.J. Ware","2/18/1985","00-0024559"
267,2506386,"Mike Nugent","3/2/1982","00-0023482"
270,2506222,"Josh Cribbs","6/9/1983","00-0023176"
271,497336,"Damian Williams","5/26/1988","00-0027893"
272,2495721,"Laurent Robinson","5/20/1985","00-0025462"
273,2506878,"Matt Leinart","5/11/1983","00-0024225"
274,497129,"John Skelton","3/17/1988","00-0027754"
275,2507518,"Lance Ball","6/19/1985","00-0026432"
276,733,"Earl Bennett","3/23/1987","00-0026210"
277,2507140,"Tyler Palko","8/9/1983","00-0024812"
279,2507218,"Brent Celek","1/25/1985","00-0025549"
280,497176,"Toby Gerhart","3/28/1987","00-0027888"
281,2506481,"Dan Orlovsky","8/18/1983","00-0023578"
282,2507476,"Kevin Smith","12/17/1986","00-0026204"
283,2495194,"Jake Locker","6/15/1988","00-0027946"
284,2507385,"Caleb Hanie","9/11/1985","00-0025970"
285,318,"Jerome Simpson","2/4/1986","00-0026186"
286,497192,"Joe McKnight","4/16/1988","00-0027712"
288,2508123,"T.J. Yates","5/28/1987","00-0028090"
289,264,"Josh Johnson","5/15/1986","00-0026300"
290,2503715,"Ricky Williams","5/21/1977","00-0017915"
291,2505562,"Seneca Wallace","8/6/1980","00-0022055"
292,80630,"Kahlil Bell","12/10/1986","00-0026579"
293,2495438,"Kyle Rudolph","11/9/1989","00-0027981"
294,367,"Matt Flynn","6/20/1985","00-0026349"
295,2532977,"Kendall Wright","11/12/1989","00-0029708"
296,2495467,"Taiwan Jones","7/26/1988","00-0028063"
297,2495253,"Titus Young","8/21/1989","00-0027982"
298,2532970,"Brandon Weeden","10/14/1983","00-0029677"
299,4381,"Garrett Hartley","5/16/1986","00-0025824"
300,497174,"Jonathan Dwyer","7/26/1989","00-0027786"
301,2533035,"David Wilson","6/15/1991","00-0029251"
302,2532956,"Ryan Tannehill","7/27/1988","00-0029701"
303,2532899,"Doug Martin","1/13/1989","00-0029613"
304,2533033,"Robert Griffin III","2/12/1990","00-0029665"
305,2495468,"Mikel Leshoure","3/30/1990","00-0027995"
306,2533031,"Andrew Luck","9/12/1989","00-0029668"
307,2533038,"Justin Blackmon","1/9/1990","00-0029707"
308,2532975,"Russell Wilson","11/29/1988","00-0029263"
309,2533032,"Trent Richardson","7/10/1990","00-0029675"
310,2495474,"Ryan Williams","4/9/1990","00-0027976"
311,2505511,"Nate Burleson","8/19/1981","00-0021999"
312,324,"Jacob Tamme","3/15/1985","00-0026267"
313,2531332,"Terrelle Pryor","6/20/1989","00-0028825"
314,2495448,"Randall Cobb","8/22/1990","00-0028002"
315,2533457,"Alfred Morris","12/12/1988","00-0029141"
316,2533537,"Stephen Hill","4/25/1991","00-0028995"
317,2533460,"Robert Turbin","12/2/1989","00-0029273"
318,497302,"Brandon LaFell","11/4/1986","00-0027681"
319,2533039,"Alshon Jeffery","2/14/1990","00-0029137"
320,81857,"Kevin Ogletree","8/5/1987","00-0026780"
321,2532968,"Blair Walsh","1/8/1990","00-0029576"
322,1062,"Martellus Bennett","3/10/1987","00-0026201"
323,2507790,"Andre Brown","12/15/1986","00-0027094"
325,184,"Donnie Avery","6/12/1984","00-0026173"
326,2536340,"Justin Tucker","11/21/1989","00-0029597"
327,497254,"Dennis Pitta","6/29/1985","00-0027714"
328,81831,"Brian Hartline","11/22/1986","00-0027077"
329,2506369,"Heath Miller","10/22/1982","00-0023465"
330,1970,"Tashard Choice","11/20/1984","00-0026262"
331,2504833,"Shaun Hill","1/9/1980","00-0020679"
332,2506928,"Domenik Hixon","10/8/1984","00-0024345"
333,2532842,"Nick Foles","1/20/1989","00-0029567"
334,2533034,"Lamar Miller","4/25/1991","00-0029615"
335,71195,"Ramses Barden","1/1/1986","00-0026902"
336,2534797,"Greg Zuerlein","12/27/1987","00-0029621"
337,2532797,"Brandon Bolden","1/26/1990","00-0029239"
338,2504162,"Shayne Graham","12/9/1977","00-0019536"
339,497320,"Andre Roberts","1/9/1988","00-0027691"
340,2534789,"Daryl Richardson","4/12/1990","00-0029612"
342,81288,"Brandon Gibson","8/13/1987","00-0026937"
343,2531056,"William Powell","3/9/1988","00-0028736"
344,2508119,"Alex Green","6/23/1988","00-0028034"
345,2495186,"Colin Kaepernick","11/3/1987","00-0027974"
346,2533012,"Vick Ballard","7/16/1990","00-0029547"
347,2508097,"Andrew Hawkins","3/10/1986","00-0027918"
348,2495714,"Brady Quinn","10/27/1984","00-0025409"
349,2500351,"Phil Dawson","1/23/1975","00-0004091"
350,238504,"LaRod Stephens-Howling","4/26/1987","00-0026956"
351,2537931,"Josh Gordon","4/13/1991","00-0029664"
352,2535634,"Chris Givens","12/6/1989","00-0029614"
353,2503471,"Adam Vinatieri","12/28/1972","00-0016919"
354,2506531,"Joel Dreessen","7/26/1982","00-0023630"
355,2532807,"Ryan Broyles","4/9/1988","00-0029209"
356,71345,"Rashad Jennings","3/26/1985","00-0027155"
357,2495835,"Anthony Fasano","4/20/1984","00-0024268"
358,2495464,"Jamie Harper","9/11/1989","00-0028068"
359,4433,"Marcel Reece","6/23/1985","00-0026393"
360,2507999,"Chris Ivory","3/22/1988","00-0027531"
361,89766,"Brandon Myers","9/4/1985","00-0027135"
362,497145,"Joique Bell","8/4/1986","00-0027218"
363,2532865,"T.Y. Hilton","11/14/1989","00-0029608"
364,2505673,"Byron Leftwich","1/14/1980","00-0022177"
365,2507216,"Justin Medlock","10/23/1983","00-0025547"
366,2495341,"Cecil Shorts","12/22/1987","00-0028052"
367,2534796,"Bryce Brown","5/14/1991","00-0029429"
368,2533437,"Ronnie Hillman","9/14/1991","00-0029683"
369,2532894,"Ryan Lindley","6/22/1989","00-0029531"
370,2643,"Jalen Parmele","12/30/1985","00-0026316"
371,497234,"Garrett Graham","8/4/1986","00-0027718"
372,2495328,"Bilal Powell","10/27/1988","00-0028064"
373,238498,"Julian Edelman","5/22/1986","00-0027150"
374,2532820,"Kirk Cousins","8/19/1988","00-0029604"
375,2506817,"Montell Owens","5/4/1984","00-0024103"
376,2533036,"LaMichael James","10/22/1989","00-0029260"
377,2502377,"Terrell Owens","12/7/1973","00-0012478"
378,2532876,"A.J. Jenkins","9/8/1989","00-0029654"
379,2508027,"Kyle Williams","7/19/1988","00-0027608"
380,2539336,"Tavon Austin","3/15/1990","00-0030525"
381,2495473,"Shane Vereen","3/2/1989","00-0027994"
382,2539335,"Geno Smith","10/10/1990","00-0030565"
383,2541196,"Jeff Tuel","2/12/1991","00-0030024"
384,2541151,"Zach Sudfeld","4/18/1989","00-0029999"
385,2539214,"Kenbrell Thompkins","7/29/1988","00-0030000"
386,2540156,"Giovani Bernard","11/22/1991","00-0030456"
387,2533545,"Bernard Pierce","5/10/1991","00-0029264"
388,2539228,"EJ Manuel","3/19/1990","00-0030526"
389,2539341,"Montee Ball","12/5/1990","00-0030522"
390,2540171,"Joseph Randle","12/29/1991","00-0030388"
391,2540178,"Knile Davis","10/5/1991","00-0030280"
392,2540168,"Eddie Lacy","6/2/1990","00-0030485"
393,2532926,"Isaiah Pead","12/14/1989","00-0029626"
394,2540175,"Le'Veon Bell","2/18/1992","00-0030496"
395,2495150,"Kai Forbath","9/2/1987","00-0028787"
396,497326,"Golden Tate","8/2/1988","00-0027891"
397,2533444,"Randy Bullock","12/16/1989","00-0029421"
398,2495267,"Jordan Cameron","8/7/1988","00-0028040"
399,2495353,"Julius Thomas","6/27/1988","00-0028067"
400,2507374,"Steven Hauschka","6/29/1985","00-0025944"
401,2540165,"DeAndre Hopkins","6/6/1992","00-0030564"
402,1990,"Eddie Royal","5/21/1986","00-0026182"
