year,rank,player_name,position
2020,1,Patrick Mahomes,QB
2020,2,Lamar Jackson,QB
2020,3,Dak Prescott,QB
2020,4,Russell Wilson,QB
2020,5,Kyler Murray,QB
2020,6,Deshaun Watson,QB
2020,7,Josh Allen,QB
2020,8,Matt Ryan,QB
2020,9,Drew Brees,QB
2020,10,Carson Wentz,QB
2020,11,Matthew Stafford,QB
2020,12,Tom Brady,QB
2020,13,Aaron Rodgers,QB
2020,14,Daniel Jones,QB
2020,15,Ben Roethlisberger,QB
2020,16,Cam Newton,QB
2020,17,Baker Mayfield,QB
2020,18,Ryan Tannehill,QB
2020,19,Jared Goff,QB
2020,20,Joe Burrow,QB
2020,21,Kirk Cousins,QB
2020,22,Jimmy Garoppolo,QB
2020,23,Gardner Minshew,QB
2020,24,Philip Rivers,QB
2020,25,Drew Lock,QB
2020,26,Teddy Bridgewater,QB
2020,27,Sam Darnold,QB
2020,28,Derek Carr,QB
2020,29,Dwayne Haskins,QB
2020,30,Tyrod Taylor,QB
2020,31,Ryan Fitzpatrick,QB
2020,32,Nick Foles,QB
2020,33,Tua Tagovailoa,QB
2020,34,Mitchell Trubisky,QB
2020,35,Justin Herbert,QB
2020,36,Jarrett Stidham,QB
2020,37,Jameis Winston,QB
2020,38,Marcus Mariota,QB
2020,39,Taysom Hill,QB
2020,40,Andy Dalton,QB
2020,1,Christian McCaffrey,RB
2020,2,Saquon Barkley,RB
2020,3,Ezekiel Elliott,RB
2020,4,Alvin Kamara,RB
2020,5,Dalvin Cook,RB
2020,6,Derrick Henry,RB
2020,7,Joe Mixon,RB
2020,8,Clyde Edwards-Helaire,RB
2020,9,Nick Chubb,RB
2020,10,Kenyan Drake,RB
2020,11,Miles Sanders,RB
2020,12,Josh Jacobs,RB
2020,13,Aaron Jones,RB
2020,14,Austin Ekeler,RB
2020,15,Todd Gurley,RB
2020,16,Chris Carson,RB
2020,17,Leonard Fournette,RB
2020,18,James Conner,RB
2020,19,Melvin Gordon,RB
2020,20,Le'Veon Bell,RB
2020,21,David Johnson,RB
2020,22,Jonathan Taylor,RB
2020,23,Mark Ingram,RB
2020,24,David Montgomery,RB
2020,25,Devin Singletary,RB
2020,26,Raheem Mostert,RB
2020,27,D'Andre Swift,RB
2020,28,Cam Akers,RB
2020,29,Kareem Hunt,RB
2020,30,Ronald Jones II,RB
2020,31,Jordan Howard,RB
2020,32,James White,RB
2020,33,JK Dobbins,RB
2020,34,Sony Michel,RB
2020,35,Matt Breida,RB
2020,36,Tarik Cohen,RB
2020,37,Phillip Lindsay,RB
2020,38,Kerryon Johnson,RB
2020,39,Tevin Coleman,RB
2020,40,Marlon Mack,RB
2020,41,Latavius Murray,RB
2020,42,Ke'Shawn Vaughn,RB
2020,43,Zack Moss,RB
2020,44,Darrell Henderson,RB
2020,45,Alexander Mattison,RB
2020,46,Duke Johnson,RB
2020,47,Tony Pollard,RB
2020,48,Boston Scott,RB
2020,49,Adrian Peterson,RB
2020,50,Antonio Gibson,RB
2020,51,Chase Edmonds,RB
2020,52,Nyheim Hines,RB
2020,53,Justin Jackson,RB
2020,54,AJ Dillon,RB
2020,55,Jamaal Williams,RB
2020,56,Carlos Hyde,RB
2020,57,Damien Harris,RB
2020,58,Darrynton Evans,RB
2020,59,Giovani Bernard,RB
2020,60,Anthony McFarland,RB
2020,1,Michael Thomas,WR
2020,2,Davante Adams,WR
2020,3,Tyreek Hill,WR
2020,4,Julio Jones,WR
2020,5,DeAndre Hopkins,WR
2020,6,Chris Godwin,WR
2020,7,Kenny Golladay,WR
2020,8,Allen Robinson,WR
2020,9,Mike Evans,WR
2020,10,JuJu Smith-Schuster,WR
2020,11,Amari Cooper,WR
2020,12,Adam Thielen,WR
2020,13,D.J. Moore,WR
2020,14,Odell Beckham,WR
2020,15,A.J. Brown,WR
2020,16,Calvin Ridley,WR
2020,17,Robert Woods,WR
2020,18,Cooper Kupp,WR
2020,19,Tyler Lockett,WR
2020,20,D.J. Chark,WR
2020,21,Courtland Sutton,WR
2020,22,Terry McLaurin,WR
2020,23,Keenan Allen,WR
2020,24,DK Metcalf,WR
2020,25,DeVante Parker,WR
2020,26,T.Y. Hilton,WR
2020,27,Stefon Diggs,WR
2020,28,Jarvis Landry,WR
2020,29,A.J. Green,WR
2020,30,Tyler Boyd,WR
2020,31,Michael Gallup,WR
2020,32,Marquise Brown,WR
2020,33,Julian Edelman,WR
2020,34,Marvin Jones,WR
2020,35,Will Fuller,WR
2020,36,Brandin Cooks,WR
2020,37,Christian Kirk,WR
2020,38,Diontae Johnson,WR
2020,39,John Brown,WR
2020,40,Jamison Crowder,WR
2020,41,Mike Williams,WR
2020,42,Sterling Shepard,WR
2020,43,Darius Slayton,WR
2020,44,Emmanuel Sanders,WR
2020,45,Anthony Miller,WR
2020,46,Deebo Samuel,WR
2020,47,CeeDee Lamb,WR
2020,48,Golden Tate,WR
2020,49,Preston Williams,WR
2020,50,Jalen Reagor,WR
2020,51,Jerry Jeudy,WR
2020,52,Henry Ruggs,WR
2020,53,Mecole Hardman,WR
2020,54,Curtis Samuel,WR
2020,55,Justin Jefferson,WR
2020,56,Breshad Perriman,WR
2020,57,N'Keal Harry,WR
2020,58,Sammy Watkins,WR
2020,59,Robby Anderson,WR
2020,60,DeSean Jackson,WR
2020,1,Travis Kelce,TE
2020,2,George Kittle,TE
2020,3,Mark Andrews,TE
2020,4,Zach Ertz,TE
2020,5,Darren Waller,TE
2020,6,Evan Engram,TE
2020,7,Hunter Henry,TE
2020,8,Tyler Higbee,TE
2020,9,Hayden Hurst,TE
2020,10,Jared Cook,TE
2020,11,Rob Gronkowski,TE
2020,12,Austin Hooper,TE
2020,13,Mike Gesicki,TE
2020,14,Noah Fant,TE
2020,15,Dallas Goedert,TE
2020,16,T.J. Hockenson,TE
2020,17,Jonnu Smith,TE
2020,18,Blake Jarwin,TE
2020,19,Jack Doyle,TE
2020,20,Eric Ebron,TE