id,name,birthdate,picture_id,nfl_URL_name
daeseanXhamilton,DaeSean Hamilton,1995-03-10,iz3vfnnc3rwi6mpdsvia,daesean-hamilton
jamesXwashingto,James Washington,1996-04-02,yptzwstif3onpqoobsau,james-washington
justiceXhill,Justice Hill,1997-11-14,dvevoqvugipv3ekspchh,justice-hill
darwinXthompson,Darwin Thompson,1997-02-12,vc51lpxgi2oivxtydwah,darwin-thompson
damienXharris,Damien Harris,1997-02-11,dindmtqwwvrzgkfsqfdb,damien-harris
dareXogunbowale,Dare Ogunbowale,1994-05-04,twwwuticotuolt25lro6,dare-ogunbowale
bostonXscott,Boston Scott,1995-04-27,w9geuwsrzbaycdjkwgxw,boston-scott
tuaXtagovailoa,Tua Tagovailoa,1998-03-02,ppuciznfqicutxeebq7s,tua-tagovailoa
justinXherbert,Justin Herbert,1998-03-10,ppuciznfqicutxeebq7s,justin-herbert
jarrettXstidham,Jarrett Stidham,1996-08-08,pwcjgwu2i11h1xrqot1x,jarrett-stidham
clydeXedwardsXhelaire,Clyde Edwards-Helaire,1999-04-11,ppuciznfqicutxeebq7s,clyde-edwards-helaire
jonathanXtaylor,Jonathan Taylor,1999-01-19,ppuciznfqicutxeebq7s,jonathan-taylor
dXandreXswift,D'Andre Swift,1999-01-14,ppuciznfqicutxeebq7s,d-andre-swift
camXakers,Cam Akers,1999-06-22,ppuciznfqicutxeebq7s,cam-akers
jXkXdobbins,JK Dobbins,1998-12-17,ppuciznfqicutxeebq7s,j-k-dobbins
keXshawnXvaughn,Ke'Shawn Vaughn,1997-05-04,ppuciznfqicutxeebq7s,ke-shawn-vaughn
zackXmoss,Zack Moss,1997-12-15,ppuciznfqicutxeebq7s,zack-moss
antonioXgibsonX2,Antonio Gibson,1998-06-23,ppuciznfqicutxeebq7s,antonio-gibson-2
aXjXdillon,AJ Dillon,1998-05-02,ppuciznfqicutxeebq7s,a-j-dillon
darryntonXevans,Darrynton Evans,1998-07-09,ppuciznfqicutxeebq7s,darrynton-evans
anthonyXmcfarlandX2,Anthony McFarland,1999-03-04,ppuciznfqicutxeebq7s,anthony-mcfarland-2
joeXburrow,Joe Burrow,1996-12-10,ppuciznfqicutxeebq7s,joe-burrow
diontaeXjohnson,Diontae Johnson,1996-07-05,sfjwmwa8p8hcnll6zy8p,diontae-johnson
dariusXslayton,Darius Slayton,1997-01-12,dmmwezroq3otqrv4mqet,darius-slayton
ceedeeXlamb,CeeDee Lamb,1999-04-08,ppuciznfqicutxeebq7s,ceedee-lamb
prestonXwilliams,Preston Williams,1997-03-27,abp66jqwr4j6lww3t5i6,preston-williams
jalenXreagor,Jalen Reagor,1999-01-01,ppuciznfqicutxeebq7s,jalen-reagor
jerryXjeudy,Jerry Jeudy,1999-04-24,ppuciznfqicutxeebq7s,jerry-jeudy
henryXruggsXIII,Henry Ruggs,1999-01-24,ppuciznfqicutxeebq7s,henry-ruggs-III
justinXjefferson,Justin Jefferson,1999-01-16,ppuciznfqicutxeebq7s,justin-jefferson
haydenXhurst,Hayden Hurst,1993-08-24,f47htsrzelhswkex3xbu,hayden-hurst
blakeXjarwin,Blake Jarwin,1994-07-16,xr6ablsjbguolnllkuau,blake-jarwin