pick,owner_name,price,player_name,player_id,position
-,jordan,37,Jameis Winston,2552033,QB
-,jordan,41,Drew Brees,2504775,QB
-,jordan,15,Melvin Gordon,2552469,RB
-,jordan,16,Damien Williams,2550512,RB
-,jordan,39,Julio Jones,2495454,WR
-,jordan,3,DeSean Jackson,1581,WR
-,jordan,1,Vance McDonald,2540215,TE
-,jordan,1,Robbie Gould,2506264,K
-,jordan,1,Los Angeles Chargers,100028,DEF
-,jordan,40,Cam Newton,2495455,QB
-,jordan,4,LeSean McCoy,79607,RB
-,jordan,1,Delanie Walker,2495966,TE
-,jordan,1,John Brown,2543847,WR
-,Daniel,34,Ben Roethlisberger,2506109,QB
-,Daniel,1,Ryan Fitzpatrick,2506581,QB
-,Daniel,63,Saquon Barkley,2560968,RB
-,Daniel,57,Christian McCaffrey,2557997,RB
-,Daniel,26,Antonio Brown,2508061,WR
-,Daniel,7,Kenny Golladay,2558052,WR
-,Daniel,1,Curtis Samuel,2558066,WR
-,Daniel,1,Eli Manning,2505996,QB
-,Daniel,1,Josh Rosen,2560858,QB
-,Kevin,58,Deshaun Watson,2558063,QB
-,Kevin,27,Leonard Fournette,2557973,RB
-,Kevin,19,Chris Carson,2558865,RB
-,Kevin,11,A.J. Green,2495450,WR
-,Kevin,10,Chris Godwin,2558105,WR
-,Kevin,1,Austin Hooper,2555415,TE
-,Kevin,2,Greg Zuerlein,2534797,K
-,Kevin,5,Chicago Bears,100005,DEF
-,Kevin,6,Marcus Mariota,2552466,QB
-,Kevin,15,Derrick Henry,2556075,RB
-,Kevin,7,Tevin Coleman,2552453,RB
-,Kevin,5,Calvin Ridley,2560854,WR
-,Kevin,3,Alshon Jeffery,2533039,WR
-,joe,61,Aaron Rodgers,2506363,QB
-,joe,16,Jimmy Garoppolo,2543801,QB
-,joe,37,Nick Chubb,2561021,RB
-,joe,13,Robert Woods,2540169,WR
-,joe,14,Amari Cooper,2552487,WR
-,joe,9,O.J. Howard,2557856,TE
-,joe,2,Will Fuller,2555346,WR
-,joe,11,Julian Edelman,238498,WR
-,joe,5,Duke Johnson,2552461,RB
-,joe,5,D.J. Moore,2560813,WR
-,joe,4,Allen Robinson,2543509,WR
-,joe,3,Latavius Murray,2541161,RB
-,Brock,36,Jared Goff,2555334,QB
-,Brock,21,Josh Allen,2560955,QB
-,Brock,39,Dalvin Cook,2557991,RB
-,Brock,2,Jordan Howard,2555418,RB
-,Brock,6,Mike Williams,2558846,WR
-,Brock,12,Tyler Lockett,2552430,WR
-,Brock,2,Jared Cook,71265,TE
-,Brock,3,Baltimore Ravens,100002,DEF
-,Brock,40,Davante Adams,2543495,WR
-,Brock,33,Tyreek Hill,2556214,WR
-,Brock,3,Joe Flacco,382,QB
-,Brock,1,Matt Breida,2558918,RB
-,Brock,1,Rashaad Penny,2560835,RB
-,Brandon,6,Andy Dalton,2495143,QB
-,Brandon,51,Matt Ryan,310,QB
-,Brandon,43,David Johnson,2553435,RB
-,Brandon,46,James Conner,2557978,RB
-,Brandon,16,Brandin Cooks,2543498,WR
-,Brandon,10,Josh Gordon,2537931,WR
-,Brandon,11,Matthew Stafford,79860,QB
-,Brandon,10,James White,2543773,RB
-,Brandon,5,Jarvis Landry,2543488,WR
-,Brandon,2,Kenyan Drake,2555230,RB
-,Michael,24,Mitchell Trubisky,2558008,QB
-,Michael,30,Dak Prescott,2555260,QB
-,Michael,49,Ezekiel Elliott,2555224,RB
-,Michael,39,Le'Veon Bell,2540175,RB
-,Michael,8,Cooper Kupp,2557898,WR
-,Michael,19,Stefon Diggs,2552608,WR
-,Michael,3,Justin Tucker,2536340,K
-,Michael,1,Minnesota Vikings,100020,DEF
-,Michael,9,Nick Foles,2532842,QB
-,Michael,4,Tarik Cohen,2558250,RB
-,Michael,1,Dion Lewis,2495469,RB
-,Michael,3,David Njoku,2557986,TE
-,Jeremy,43,Russell Wilson,2532975,QB
-,Jeremy,27,Philip Rivers,2506121,QB
-,Jeremy,9,Sony Michel,2560809,RB
-,Jeremy,46,DeAndre Hopkins,2540165,WR
-,Jeremy,35,Odell Beckham,2543496,WR
-,Jeremy,21,Zach Ertz,2540158,TE
-,Jeremy,1,Jacksonville Jaguars,100015,DEF
-,Jeremy,5,Tyler Boyd,2555466,WR
-,Jeremy,1,Case Keenum,2532888,QB
-,Jeremy,1,Sammy Watkins,2543457,WR
-,Jeremy,1,Peyton Barber,2556466,RB
-,Keenan,67,Patrick Mahomes,2558125,QB
-,Keenan,32,Lamar Jackson,2560757,QB
-,Keenan,23,Aaron Jones,2558116,RB
-,Keenan,20,Adam Thielen,2541785,WR
-,Keenan,23,Keenan Allen,2540154,WR
-,Keenan,20,George Kittle,2558266,TE
-,Dag,47,Carson Wentz,2555259,QB
-,Dag,24,Devonta Freeman,2543583,RB
-,Dag,25,Kerryon Johnson,2560765,RB
-,Dag,31,Mike Evans,2543468,WR
-,Dag,1,Pittsburgh Steelers,100027,DEF
-,Dag,34,Travis Kelce,2540258,TE
-,Dag,1,Harrison Butker,2558245,K
-,Dag,12,Mark Ingram,2495466,RB
-,Dag,3,Emmanuel Sanders,497322,WR
-,Dag,3,Royce Freeman,2560733,RB
-,Dag,2,Robby Anderson,2556462,WR
-,Woody,45,Baker Mayfield,2560800,QB
-,Woody,25,Kirk Cousins,2532820,QB
-,Woody,58,Alvin Kamara,2558019,RB
-,Woody,33,Joe Mixon,2557976,RB
-,Woody,4,Dede Westbrook,2557895,WR
-,Woody,35,JuJu Smith-Schuster,2558149,WR
-,Dennis,33,Tom Brady,2504211,QB
-,Dennis,14,Sam Darnold,2561036,QB
-,Dennis,38,Todd Gurley,2552475,RB
-,Dennis,1,Adrian Peterson,2507164,RB
-,Dennis,37,Michael Thomas,2556370,WR
-,Dennis,15,T.Y. Hilton,2532865,WR
-,Dennis,12,Evan Engram,2557858,TE
-,Dennis,1,Aldrick Rosas,2556771,K
-,Dennis,3,St. Louis Rams,100017,DEF
-,Dennis,8,Derek Carr,2543499,QB
-,Dennis,14,Marlon Mack,2558123,RB
-,Dennis,6,Austin Ekeler,2559169,RB
-,Dennis,2,Dante Pettis,2560836,WR
-,Michael,6,Hunter Henry,2555341,TE
-,Dennis,1,Sterling Shepard,2555295,WR
-,Jeremy,10,Phillip Lindsay,2559947,RB
-,Dag,8,Jacoby Brissett,2555261,QB
-,joe,1,Dwayne Haskins,2562660,QB
-,Dag,8,Miles Sanders,2562722,RB
-,Dennis,1,Darrell Henderson,2562574,RB
-,Keenan,15,David Montgomery,2562502,RB
-,Michael,1,Christian Kirk,2560781,WR
-,Brock,1,Daniel Jones,2562299,QB
-,joe,19,Josh Jacobs,2562377,RB
-,Daniel,6,Derrius Guice,2561000,RB
-,Daniel,3,Devin Singletary,2562734,RB
-,Kevin,31,Kyler Murray,2562382,QB
-,Michael,3,Michael Gallup,2560735,WR