year,rank,player_name,position,id
2020,1,Patrick Mahomes,QB,2558125
2020,2,Lamar Jackson,QB,2560757
2020,3,Dak Prescott,QB,2555260
2020,4,Russell Wilson,QB,2532975
2020,5,Kyler Murray,QB,2562382
2020,6,Deshaun Watson,QB,2558063
2020,7,Josh Allen,QB,2560955
2020,8,Matt Ryan,QB,310
2020,9,Carson Wentz,QB,2555259
2020,10,Drew Brees,QB,2504775
2020,11,Tom Brady,QB,2504211
2020,12,Matthew Stafford,QB,79860
2020,13,Aaron Rodgers,QB,2506363
2020,14,Cam Newton,QB,2495455
2020,15,Daniel Jones,QB,2562299
2020,16,Ben Roethlisberger,QB,2506109
2020,17,Jared Goff,QB,2555334
2020,18,Baker Mayfield,QB,2560800
2020,19,Ryan Tannehill,QB,2532956
2020,20,Joe Burrow,QB,2563722
2020,21,Gardner Minshew,QB,2562796
2020,22,Kirk Cousins,QB,2532820
2020,23,Jimmy Garoppolo,QB,2543801
2020,24,Philip Rivers,QB,2506121
2020,25,Drew Lock,QB,2562305
2020,26,Teddy Bridgewater,QB,2543465
2020,27,Derek Carr,QB,2543499
2020,28,Sam Darnold,QB,2561036
2020,29,Tyrod Taylor,QB,2495240
2020,30,Dwayne Haskins,QB,2562660
2020,31,Ryan Fitzpatrick,QB,2506581
2020,32,Nick Foles,QB,2532842
2020,33,Tua Tagovailoa,QB,2564499
2020,34,Mitchell Trubisky,QB,2558008
2020,35,Justin Herbert,QB,2565045
2020,1,Christian McCaffrey,RB,2557997
2020,2,Saquon Barkley,RB,2560968
2020,3,Ezekiel Elliott,RB,2555224
2020,4,Alvin Kamara,RB,2558019
2020,5,Dalvin Cook,RB,2557991
2020,6,Derrick Henry,RB,2556075
2020,7,Clyde Edwards-Helaire,RB,2564271
2020,8,Joe Mixon,RB,2557976
2020,9,Josh Jacobs,RB,2562377
2020,10,Miles Sanders,RB,2562722
2020,11,Nick Chubb,RB,2561021
2020,12,Kenyan Drake,RB,2555230
2020,13,Austin Ekeler,RB,2559169
2020,14,Aaron Jones,RB,2558116
2020,15,Chris Carson,RB,2558865
2020,16,Todd Gurley,RB,2552475
2020,17,James Conner,RB,2557978
2020,18,Jonathan Taylor,RB,2564148
2020,19,Melvin Gordon,RB,2552469
2020,20,David Johnson,RB,2553435
2020,21,Le'Veon Bell,RB,2540175
2020,22,Mark Ingram,RB,2495466
2020,23,Leonard Fournette,RB,2557973
2020,24,Raheem Mostert,RB,2553728
2020,25,Cam Akers,RB,2564319
2020,26,Kareem Hunt,RB,2557917
2020,27,D'Andre Swift,RB,2563965
2020,28,David Montgomery,RB,2562502
2020,29,Devin Singletary,RB,2562734
2020,30,Antonio Gibson,RB,2565276
2020,31,James White,RB,2543773
2020,32,JK Dobbins,RB,2563548
2020,33,Jordan Howard,RB,2555418
2020,34,Tarik Cohen,RB,2558250
2020,35,Phillip Lindsay,RB,2559947
2020,36,Zack Moss,RB,2563617
2020,37,Ronald Jones II,RB,2560770
2020,38,Matt Breida,RB,2558918
2020,39,Kerryon Johnson,RB,2560765
2020,40,Marlon Mack,RB,2558123
2020,41,Tevin Coleman,RB,2552453
2020,42,Latavius Murray,RB,2541161
2020,43,Sony Michel,RB,2560809
2020,44,Duke Johnson,RB,2552461
2020,45,Alexander Mattison,RB,2562682
2020,46,Darrell Henderson,RB,2562574
2020,47,Boston Scott,RB,2561146
2020,48,Tony Pollard,RB,2562699
2020,49,Chase Edmonds,RB,2560711
2020,50,Ryquell Armstead,RB,2562622
2020,51,Chris Thompson,RB,2540011
2020,52,Nyheim Hines,RB,2560742
2020,53,Damien Harris,RB,2562281
2020,54,Justin Jackson,RB,2560756
2020,55,AJ Dillon,RB,2593986
2020,57,Carlos Hyde,RB,2543743
2020,58,Darrynton Evans,RB,2564043
2020,60,Jamaal Williams,RB,2558204
2020,1,Michael Thomas,WR,2556370
2020,2,Davante Adams,WR,2543495
2020,3,Julio Jones,WR,2495454
2020,4,Tyreek Hill,WR,2556214
2020,5,Chris Godwin,WR,2558105
2020,6,DeAndre Hopkins,WR,2540165
2020,7,Kenny Golladay,WR,2558052
2020,8,Allen Robinson,WR,2543509
2020,9,Mike Evans,WR,2543468
2020,10,D.J. Moore,WR,2560813
2020,11,Adam Thielen,WR,2541785
2020,12,JuJu Smith-Schuster,WR,2558149
2020,13,Odell Beckham,WR,2543496
2020,14,Amari Cooper,WR,2552487
2020,15,Robert Woods,WR,2540169
2020,16,A.J. Brown,WR,2562238
2020,17,Calvin Ridley,WR,2560854
2020,18,Cooper Kupp,WR,2557898
2020,19,Terry McLaurin,WR,2562489
2020,20,Tyler Lockett,WR,2552430
2020,21,D.J. Chark,WR,2561018
2020,22,DK Metcalf,WR,2562685
2020,23,Courtland Sutton,WR,2560888
2020,24,Keenan Allen,WR,2540154
2020,25,DeVante Parker,WR,2552409
2020,26,T.Y. Hilton,WR,2532865
2020,27,Stefon Diggs,WR,2552608
2020,28,Michael Gallup,WR,2560735
2020,29,Tyler Boyd,WR,2555466
2020,30,Marquise Brown,WR,2562379
2020,31,Jarvis Landry,WR,2543488
2020,32,A.J. Green,WR,2495450
2020,33,Julian Edelman,WR,238498
2020,34,Marvin Jones,WR,2532884
2020,35,Will Fuller,WR,2555346
2020,36,Brandin Cooks,WR,2543498
2020,37,Diontae Johnson,WR,2562674
2020,38,Jamison Crowder,WR,2552415
2020,39,Christian Kirk,WR,2560781
2020,40,Deebo Samuel,WR,2562721
2020,41,John Brown,WR,2543847
2020,42,Sterling Shepard,WR,2555295
2020,43,CeeDee Lamb,WR,2563848
2020,44,Darius Slayton,WR,2562736
2020,45,Anthony Miller,WR,2560810
2020,46,Emmanuel Sanders,WR,497322
2020,47,Preston Williams,WR,2562805
2020,48,Golden Tate,WR,497326
2020,49,Henry Ruggs,WR,2564433
2020,50,Jerry Jeudy,WR,2563896
2020,51,Mike Williams,WR,2558846
2020,52,Mecole Hardman,WR,2562580
2020,53,Jalen Reagor,WR,2564850
2020,54,DeSean Jackson,WR,1581
2020,55,Justin Jefferson,WR,2564556
2020,56,N'Keal Harry,WR,2562659
2020,57,Curtis Samuel,WR,2558066
2020,58,Allen Lazard,WR,2560787
2020,59,Robby Anderson,WR,2556462
2020,60,Breshad Perriman,WR,2552597
2020,1,Travis Kelce,TE,2540258
2020,2,George Kittle,TE,2558266
2020,3,Mark Andrews,TE,2560957
2020,4,Zach Ertz,TE,2540158
2020,5,Darren Waller,TE,2552408
2020,6,Evan Engram,TE,2557858
2020,7,Hunter Henry,TE,2555341
2020,8,Tyler Higbee,TE,2555364
2020,9,Hayden Hurst,TE,2560747
2020,10,Jared Cook,TE,71265
2020,11,Rob Gronkowski,TE,497240
2020,12,Austin Hooper,TE,2555415
2020,13,Mike Gesicki,TE,2560994
2020,14,T.J. Hockenson,TE,2562378
2020,15,Noah Fant,TE,2562383
2020,16,Dallas Goedert,TE,2560995
2020,17,Jonnu Smith,TE,2558207
2020,18,Blake Jarwin,TE,2559193
2020,19,Chris Herndon,TE,2560738
2020,20,Jack Doyle,TE,2540232