position,player,age,experience,last year rank,bye week,low price,high price,actual price,owner
QB,Josh Allen,26.27,4,7,66,67,70,61,Woody
QB,Justin Herbert,24.47,2,8,58,63,68,62,joe
QB,Patrick Mahomes,26.95,5,8,55,59,61,60,Jordan
QB,Lamar Jackson,25.64,4,10,51,55,59,55,joe
QB,Kyler Murray,25.06,3,13,46,48,51,46,Dennis
QB,Jalen Hurts,24.06,2,7,46,48,51,42,Kevin
QB,Joe Burrow,25.72,2,10,39,44,51,42,Dennis
QB,Tom Brady,45.07,22,11,39,41,42,35,Jeremy
QB,Russell Wilson,33.75,10,9,34,36,43,40,Dag
QB,Dak Prescott,29.08,6,9,33,36,42,35,Brandon
QB,Trey Lance,22.31,1,9,32,37,42,38,Brock
QB,Matthew Stafford,34.56,13,7,31,35,41,37,Keenan
QB,Aaron Rodgers,38.74,17,14,21,34,36,41,Michael
QB,Kirk Cousins,34.03,10,7,28,30,37,30,Kevin
QB,Derek Carr,31.42,8,6,20,25,35,24,Daniel
QB,Tua Tagovailoa,24.49,2,11,21,26,27,17,Jeremy
QB,Justin Fields,23.49,1,14,16,26,29,17,Brock
QB,Trevor Lawrence,22.9,1,11,20,24,26,14,Michael
QB,Jameis Winston,28.64,7,14,17,25,26,18,Jordan
QB,Matt Ryan,37.28,14,14,13,15,23,19,Dag
QB,Ryan Tannehill,34.09,9,6,13,17,20,9,Brandon
QB,Daniel Jones,25.26,3,9,9,14,20,12,Brandon
QB,Mac Jones,23.98,1,10,10,12,19,12,Keenan
QB,Carson Wentz,29.66,6,14,7,10,14,8,Jeremy
QB,Jared Goff,27.87,6,6,7,8,10,9,Michael
QB,Zach Wilson,23.07,1,10,6,8,10,6,Michael
QB,Baker Mayfield,27.38,4,13,5,8,10,13,Woody
QB,Davis Mills,23.85,1,6,3,4,8,6,Brock
QB,Marcus Mariota,28.83,7,14,3,6,6,12,Kevin
QB,Mitchell Trubisky,28.02,5,9,0,1,4,,
QB,Deshaun Watson,26.96,4,9,1,1,3,5,Jordan
QB,Drew Lock,25.8,3,11,0,1,2,,
QB,Kenny Pickett,24.23,0,9,0,1,2,4,Keenan
QB,Jimmy Garoppolo,30.82,8,9,0,0,2,1,Daniel
QB,Sam Darnold,25.23,4,13,0,0,1,,
QB,Jacoby Brissett,29.71,6,9,0,0,1,2,Jordan
QB,Geno Smith,31.89,8,11,0,0,0,3,Daniel
QB,Desmond Ridder,23.0,0,14,0,2,3,,
QB,Malik Willis,23.26,0,6,0,0,2,,
QB,Teddy Bridgewater,29.8,7,11,0,0,2,,
QB,Taysom Hill,32.02,5,14,0,0,0,,
QB,Tyrod Taylor,33.07,11,9,0,0,0,,
QB,Matt Corral,23.58,0,13,0,0,0,,
QB,Gardner Minshew,26.29,3,7,0,0,0,,
QB,Tyler Huntley,24.57,2,10,0,0,0,,
QB,Sam Howell,21.95,0,14,0,0,0,,
QB,Andy Dalton,34.83,11,14,0,0,0,,
QB,Taylor Heinicke,29.46,4,14,0,0,0,,
QB,Jordan Love,23.82,1,14,0,0,0,,
QB,Joe Flacco,37.62,14,10,0,0,0,,
RB,Jonathan Taylor,23.61,2,14,57,60,61,57,Dag
RB,Christian McCaffrey,26.23,5,13,54,58,62,51,Jeremy
RB,Austin Ekeler,27.29,5,8,54,56,57,51,Brock
RB,Dalvin Cook,27.05,5,7,44,50,53,48,Brandon
RB,Derrick Henry,28.12,6,6,44,46,49,43,Brandon
RB,Najee Harris,24.47,1,9,41,43,43,42,Keenan
RB,Joe Mixon,26.1,5,10,43,45,46,37,Woody
RB,D'Andre Swift,23.62,2,6,32,35,39,35,Kevin
RB,Saquon Barkley,25.55,4,9,34,39,39,36,Dennis
RB,Alvin Kamara,27.1,5,14,33,33,38,39,Jordan
RB,Aaron Jones,27.74,5,14,25,30,31,39,Daniel
RB,Nick Chubb,26.67,4,9,24,29,30,28,Woody
RB,Leonard Fournette,27.61,5,11,22,28,30,28,Brandon
RB,Javonte Williams,22.34,1,9,22,24,26,25,Daniel
RB,James Conner,27.32,5,13,20,25,28,20,Jeremy
RB,Ezekiel Elliott,27.1,6,9,17,23,26,17,joe
RB,Breece Hall,21.25,0,10,18,22,28,16,joe
RB,Cam Akers,23.19,2,7,13,16,18,18,Michael
RB,David Montgomery,25.23,3,14,14,16,17,13,Michael
RB,Travis Etienne,23.59,0,11,12,16,17,20,Daniel
RB,Elijah Mitchell,24.27,1,9,9,12,15,10,Michael
RB,JK Dobbins,23.7,1,10,7,11,13,13,Jordan
RB,AJ Dillon,24.33,2,14,8,11,15,7,Dag
RB,Josh Jacobs,24.54,3,6,7,10,11,11,Brandon
RB,Antonio Gibson,24.18,2,14,7,8,10,5,Kevin
RB,Damien Harris,25.54,3,10,5,7,10,4,joe
RB,Miles Sanders,25.33,3,7,5,8,9,6,Dennis
RB,Clyde Edwards-Helaire,23.38,2,8,10,11,12,11,Keenan
RB,Chase Edmonds,26.38,4,11,5,6,8,7,Kevin
RB,Rashaad Penny,26.57,4,11,5,7,9,6,Jeremy
RB,Kareem Hunt,27.06,5,9,3,4,6,6,Brock
RB,Tony Pollard,25.33,3,9,2,6,8,7,Keenan
RB,Rhamondre Stevenson,24.51,1,10,3,4,4,9,Woody
RB,Devin Singletary,24.99,3,7,2,3,6,1,joe
RB,Cordarrelle Patterson,31.45,9,14,1,3,4,11,Keenan
RB,Melvin Gordon,29.38,7,9,1,4,4,4,Dag
RB,Kenneth Walker III,21.86,0,11,2,3,5,3,Michael
RB,James Cook,22.93,0,7,1,1,2,5,Keenan
RB,Dameon Pierce,22.52,0,6,1,2,2,11,Jordan
RB,Michael Carter,23.31,0,10,3,4,8,,
RB,Darrell Henderson,25.03,3,7,0,1,2,1,Brock
RB,James Robinson,24.05,2,11,0,1,2,1,Jordan
RB,Alexander Mattison,24.19,3,7,0,1,4,1,joe
RB,Nyheim Hines,25.79,4,14,0,1,1,1,Dag
RB,Kenneth Gainwell,23.46,1,7,0,0,1,1,Kevin
RB,J.D. McKissic,29.04,6,14,0,1,1,1,joe
RB,Jamaal Williams,27.41,5,6,0,1,1,1,Brock
RB,Khalil Herbert,24.36,1,14,0,0,0,1,joe
RB,Isaiah Spiller,21.05,0,8,0,0,2,1,Brock
RB,Raheem Mostert,30.39,7,11,0,0,0,1,Keenan
RB,Tyler Allgeier,22.37,0,14,0,0,0,1,joe
RB,Brian Robinson,23.44,0,14,0,0,0,3,Dag
RB,Gus Edwards,27.38,3,10,0,0,0,,
RB,Rachaad White,23.63,0,11,0,0,0,,
RB,Mark Ingram,32.69,11,14,0,0,1,1,Jeremy
RB,Marlon Mack,26.48,5,6,0,0,0,,
RB,Ronald Jones II,25.07,4,8,0,0,2,1,Kevin
RB,D'Onta Foreman,26.35,4,13,0,0,0,,
RB,Darrel Williams,27.37,4,13,0,0,0,,
RB,Sony Michel,27.53,4,11,0,0,0,,
RB,Zamir White,22.95,0,6,0,0,0,,
RB,Kenyan Drake,28.59,6,6,0,0,0,,
RB,Boston Scott,27.34,4,7,0,0,0,,
RB,Chuba Hubbard,23.22,1,13,0,0,0,,
RB,Samaje Perine,26.95,5,10,0,0,0,,
RB,Damien Williams,30.4,7,14,0,0,0,,
RB,Tyrion Davis-Price,21.85,0,9,0,0,0,,
RB,DErnest Johnson,26.52,3,9,0,0,0,,
RB,Trey Sermon,23.58,1,9,0,0,0,,
RB,Jerick McKinnon,30.32,6,8,0,0,0,,
WR,Justin Jefferson,23.62,2,7,44,46,47,42,Brock
WR,Cooper Kupp,29.2,5,7,38,39,41,41,Woody
WR,Ja'Marr Chase,22.49,0,10,37,37,40,34,Kevin
WR,Stefon Diggs,28.75,7,7,35,36,36,31,Daniel
WR,Davante Adams,29.68,8,6,30,33,36,36,Dennis
WR,CeeDee Lamb,23.39,2,9,27,33,35,28,Brock
WR,Deebo Samuel,26.62,3,9,21,26,32,28,Michael
WR,Mike Evans,29.02,8,11,23,25,31,23,Jeremy
WR,Tyreek Hill,28.5,6,11,22,22,23,22,Jeremy
WR,A.J. Brown,25.16,3,7,17,20,20,21,Kevin
WR,Keenan Allen,30.34,9,8,13,16,20,16,Jordan
WR,Tee Higgins,23.61,2,10,14,17,19,19,Jordan
WR,Michael Pittman,24.9,2,14,13,15,17,17,Michael
WR,D.J. Moore,25.37,4,13,16,18,19,14,Daniel
WR,Diontae Johnson,26.15,3,9,12,13,17,15,Keenan
WR,Jaylen Waddle,23.81,1,11,12,12,16,10,Michael
WR,Mike Williams,27.9,5,8,8,11,12,14,Keenan
WR,Courtland Sutton,26.89,4,9,8,10,12,9,Michael
WR,Terry McLaurin,26.95,3,14,10,13,15,13,Dennis
WR,Brandin Cooks,28.93,8,6,7,7,11,10,Jeremy
WR,DK Metcalf,24.71,3,11,6,7,11,10,Keenan
WR,Allen Robinson,29.01,8,7,4,9,12,18,Dag
WR,Marquise Brown,25.23,3,13,5,5,7,8,joe
WR,Darnell Mooney,24.83,2,14,5,9,9,4,Daniel
WR,Jerry Jeudy,23.35,2,9,4,5,6,10,joe
WR,Michael Thomas,29.49,6,14,1,3,6,9,Jordan
WR,Amari Cooper,28.2,7,9,3,5,5,3,joe
WR,Rashod Bateman,22.75,1,10,3,3,7,12,Dag
WR,Chris Godwin,26.5,5,11,3,3,4,5,Brandon
WR,Gabriel Davis,23.41,2,7,1,3,4,4,Daniel
WR,Amon-Ra St Brown,22.85,1,6,1,3,4,7,Brock
WR,JuJu Smith-Schuster,25.77,5,8,1,3,5,11,Keenan
WR,Elijah Moore,22.42,1,10,0,2,5,2,joe
WR,Adam Thielen,32.02,8,7,1,2,3,8,Dag
WR,Brandon Aiyuk,24.45,2,9,1,2,3,7,Brandon
WR,DeVonta Smith,23.79,1,7,1,2,4,2,Jordan
WR,Drake London,21.1,0,14,0,1,4,3,Daniel
WR,Hunter Renfrow,26.69,3,6,0,2,3,5,joe
WR,Tyler Lockett,29.92,7,11,1,2,3,1,Brock
WR,Allen Lazard,26.72,4,14,1,1,3,5,Dag
WR,Christian Kirk,25.78,4,11,0,1,2,1,Woody
WR,DeAndre Hopkins,30.23,9,13,0,1,2,6,Kevin
WR,Robert Woods,30.38,9,6,0,0,4,7,Woody
WR,Kadarius Toney,23.59,1,9,0,1,3,2,Daniel
WR,Treylon Burks,22.43,0,6,0,0,2,1,Kevin
WR,Chris Olave,22.17,0,14,0,0,1,5,Dennis
WR,Chase Claypool,24.15,2,9,0,0,2,1,Jeremy
WR,Skyy Moore,21.97,0,8,0,0,1,1,Kevin
WR,Russell Gage,26.6,4,11,0,1,1,1,Brandon
WR,Tyler Boyd,27.79,6,10,0,1,2,,
WR,Garrett Wilson,22.1,0,10,0,0,0,,
WR,Jakobi Meyers,25.8,3,10,0,1,1,,
WR,Marquez Valdes-Scantling,27.89,4,8,0,0,1,2,Keenan
WR,DeVante Parker,29.6,7,10,0,0,0,1,Brandon
WR,Jarvis Landry,29.75,8,14,0,0,1,1,Jeremy
WR,Rondale Moore,22.22,1,13,0,0,0,,
WR,Kenny Golladay,28.82,5,9,0,0,0,,
WR,D.J. Chark,25.93,4,6,0,0,0,1,Kevin
WR,Michael Gallup,26.49,4,9,0,0,0,,
WR,George Pickens,21.49,0,9,0,0,0,1,Kevin
WR,Julio Jones,33.57,11,11,0,0,0,1,Jordan
WR,Jahan Dotson,22.44,0,14,0,0,0,,
WR,Corey Davis,27.63,5,10,0,0,0,,
WR,Robby Anderson,29.31,6,13,0,0,0,,
WR,Mecole Hardman,24.47,3,8,0,0,0,,
WR,Van Jefferson,26.09,2,7,0,0,0,,
WR,Marvin Jones,32.47,9,11,0,0,0,,
WR,Nico Collins,23.45,1,6,0,0,0,,
WR,Jameson Williams,21.43,0,6,0,0,0,,
WR,KJ Osborn,25.22,2,7,0,0,0,,
TE,Travis Kelce,32.9,9,8,30,34,37,26,Dag
TE,Mark Andrews,25.98,4,10,17,20,26,22,Michael
TE,Kyle Pitts,21.89,1,14,14,17,21,17,Daniel
TE,George Kittle,28.89,5,9,7,9,15,16,Dennis
TE,Darren Waller,29.96,6,6,8,10,12,15,Keenan
TE,Dalton Schultz,26.16,4,9,4,6,9,8,joe
TE,T.J. Hockenson,25.16,3,6,2,2,3,3,Woody
TE,Dallas Goedert,27.65,4,7,1,2,7,1,Kevin
TE,Zach Ertz,31.8,9,13,1,1,2,5,Jeremy
TE,Dawson Knox,25.79,3,7,1,1,3,,
TE,Pat Freiermuth,23.84,1,9,0,1,5,,
TE,Cole Kmet,23.47,0,14,0,0,1,,
TE,Hunter Henry,27.73,5,10,0,0,1,1,Jordan
TE,Mike Gesicki,26.9,4,11,0,0,1,,
TE,Irv Smith,24.05,0,7,0,0,0,,
TE,Noah Fant,24.77,3,11,0,0,0,,
TE,Albert Okwuegbunam,24.34,0,9,0,0,0,,
TE,Robert Tonyan,28.33,4,14,0,0,0,,
TE,David Njoku,26.14,5,9,0,0,2,,
TE,Gerald Everett,28.18,5,8,0,0,0,,
TE,Tyler Higbee,29.66,6,7,0,0,0,,
TE,Evan Engram,27.99,5,11,0,0,0,,
TE,Austin Hooper,27.83,6,6,0,0,0,,
TE,Logan Thomas,31.16,6,14,0,0,0,,
TE,Hayden Hurst,29.01,4,10,0,0,0,,
