price,owner_id,player_name,position
40,1,Russell Wilson,QB
57,1,Jonathan Taylor,RB
7,1,A.J. Dillon,RB
8,1,Adam Thielen,WR
18,1,Allen Robinson,WR
5,1,Allen Lazard,WR
26,1,Travis Kelce,TE
19,1,Matt Ryan,QB
4,1,Melvin Gordon,RB
1,1,Nyheim Hines,RB
3,1,Brian Robinson Jr.,RB
12,1,Rashod Bateman,WR
42,16,Joe Burrow,QB
36,16,Saquon Barkley,RB
6,16,Miles Sanders,RB
36,16,Davante Adams,WR
13,16,Terry McLaurin,WR
5,16,Chris Olave,WR
16,16,George Kittle,TE
46,16,Kyler Murray,QB
41,14,Aaron Rodgers,QB
18,14,Cam Akers,RB
10,14,Elijah Mitchell,RB
28,14,Deebo Samuel,WR
10,14,Jaylen Waddle,WR
17,14,Michael Pittman Jr.,WR
22,14,Mark Andrews,TE
9,14,Jared Goff,QB
13,14,David Montgomery,RB
14,14,Trevor Lawrence,QB
6,14,Zach Wilson,QB
9,14,Courtland Sutton,WR
3,14,Kenneth Walker III,RB
37,11,Matthew Stafford,QB
11,11,Clyde Edwards-Helaire,RB
42,11,Najee Harris,RB
15,11,Diontae Johnson,WR
11,11,JuJu Smith-Schuster,WR
14,11,Mike Williams,WR
15,11,Darren Waller,TE
12,11,Mac Jones,QB
10,11,D.K. Metcalf,WR
3,11,Green Bay Defense,DEF
7,11,Tony Pollard,RB
1,11,Raheem Mostert,RB
4,11,Kenny Pickett,QB
11,11,Cordarrelle Patterson,WR
5,11,James Cook,RB
2,11,Marquez Valdes-Scantling,WR
17,3,Justin Fields,QB
51,3,Austin Ekeler,RB
6,3,Kareem Hunt,RB
28,3,CeeDee Lamb,WR
42,3,Justin Jefferson,WR
7,3,Amon-Ra St. Brown,WR
38,3,Trey Lance,QB
1,3,Darrell Henderson,RB
1,3,Indianapolis Defense,DEF
6,3,Davis Mills,QB
1,3,Tyler Lockett,WR
1,3,Jamaal Williams,RB
1,3,Isaiah Spiller,RB
12,2,Marcus Mariota,QB
35,2,D'Andre Swift,RB
7,2,Chase Edmonds,RB
34,2,Ja'Marr Chase,WR
21,2,A.J. Brown,WR
1,2,Treylon Burks,WR
1,2,Dallas Goedert,TE
42,2,Jalen Hurts,QB
5,2,Antonio Gibson,RB
1,2,Evan McPherson,K
1,2,Skyy Moore,WR
30,2,Kirk Cousins,QB
6,2,DeAndre Hopkins,WR
1,2,Ronald Jones II,RB
1,2,Kenneth Gainwell,RB
1,2,D.J. Chark,WR
1,2,George Pickens,WR
24,7,Derek Carr,QB
25,7,Javonte Williams,RB
20,7,Travis Etienne,RB
31,7,Stefon Diggs,WR
14,7,D.J. Moore,WR
4,7,Darnell Mooney,WR
17,7,Kyle Pitts,TE
3,7,Geno Smith,QB
39,7,Aaron Jones,RB
1,7,Tyler Bass,PK
2,7,Buffalo Defense,DEF
4,7,Gabriel Davis,WR
3,7,Drake London,WR
2,7,Kadarius Toney,WR
1,7,Jimmy Garoppolo,QB
2,7,Tampa Bay Defense,DEF
8,7,Isaih Pacheco,RB
12,12,Daniel Jones,QB
28,12,Leonard Fournette,RB
48,12,Dalvin Cook,RB
1,12,DeVante Parker,WR
7,12,Brandon Aiyuk,WR
1,12,Russell Gage,WR
35,12,Dak Prescott,QB
43,12,Derrick Henry,RB
11,12,Josh Jacobs,RB
9,12,Ryan Tannehill,QB
5,12,Chris Godwin,WR
61,13,Josh Allen,QB
28,13,Nick Chubb,RB
37,13,Joe Mixon,RB
41,13,Cooper Kupp,WR
7,13,Robert Woods,WR
1,13,Christian Kirk,WR
3,13,T.J. Hockenson,TE
13,13,Baker Mayfield,QB
9,13,Rhamondre Stevenson,RB
17,15,Tua Tagovailoa,QB
51,15,Christian McCaffrey,RB
20,15,James Conner,RB
22,15,Tyreek Hill,WR
23,15,Mike Evans,WR
10,15,Brandin Cooks,WR
5,15,Zach Ertz,TE
35,15,Tom Brady,QB
6,15,Rashaad Penny,RB
8,15,Carson Wentz,QB
1,15,Mark Ingram,RB
1,15,Chase Claypool,WR
1,15,Jarvis Landry,WR
60,9,Patrick Mahomes,QB
39,9,Alvin Kamara,RB
13,9,J.K. Dobbins,RB
19,9,Tee Higgins,WR
16,9,Keenan Allen,WR
9,9,Michael Thomas,WR
1,9,Hunter Henry,TE
18,9,Jameis Winston,QB
11,9,Dameon Pierce,RB
2,9,Justin Tucker,PK
5,9,Deshaun Watson,QB
1,9,James Robinson,RB
2,9,DeVonta Smith,WR
1,9,Romeo Doubs,WR
2,9,Jacoby Brissett,QB
1,9,Julio Jones,WR
62,8,Justin Herbert,QB
16,8,Breece Hall,RB
17,8,Ezekiel Elliott,RB
10,8,Jerry Jeudy,WR
8,8,Marquise Brown,WR
5,8,Hunter Renfrow,WR
8,8,Dalton Schultz,TE
55,8,Lamar Jackson,QB
4,8,Damien Harris,RB
1,8,Tyler Allgeier,RB
2,8,San Francisco Defense,DEF
3,8,Amari Cooper,WR
1,8,Alexander Mattison,RB
1,8,Devin Singletary,RB
2,8,Elijah Moore,WR
1,8,J.D. McKissic,RB
1,8,Khalil Herbert,RB